Date,Topic_CID,Sitting_CID,Order,Title,Subtitle,Section_Type,Question_Count
2014-05-30,012-002-092-006-001,012-002-092-006,1,Debate on President's Address,Fifth allotted day,OS,
2014-05-30,012-002-092-006-002,012-002-092-006,2,Adjournment,,OS,
2014-05-30,012-002-092-006-003,012-002-092-006,3,Indonesian Fugitives in Singapore,,WA,
