Date,Topic_CID,Sitting_CID,Order,Title,Subtitle,Section_Type,Question_Count
2015-03-04,012-002-093-009-001,012-002-093-009,1,Time Allocation for Committee of Supply,Announcement by Mdm Speaker,OS,
2015-03-04,012-002-093-009-002,012-002-093-009,2,Debate on Annual Budget Statement,,OS,
2015-03-04,012-002-093-009-003,012-002-093-009,3,Adjournment of Debate,,OS,
2015-03-04,012-002-093-009-004,012-002-093-009,4,Adjournment,,OS,
2015-03-04,012-002-093-009-005,012-002-093-009,5,"""Community in Bloom"" Projects in Private Estates",,WA,
2015-03-04,012-002-093-009-006,012-002-093-009,6,Malaysian-registered Vehicles Picking Up Passengers and Tourists in Singapore,,WA,
