Date,Topic_CID,Sitting_CID,Order,Title,Subtitle,Section_Type,Question_Count
2016-11-10,013-001-094-029-001,013-001-094-029,1,Revision of Question Time,Suspension of Standing Orders,OS,
2016-11-10,013-001-094-029-002,013-001-094-029,2,Impact on Singapore of Phase Three of US Rebalancing Strategy,,OA,
2016-11-10,013-001-094-029-003,013-001-094-029,3,Genetic Screening for Women Seeking Fertility Treatment,,OA,
2016-11-10,013-001-094-029-004,013-001-094-029,4,Reduction in Hawker Stall Rent for Hawkers who Fall Ill,,OA,
2016-11-10,013-001-094-029-005,013-001-094-029,5,Decisions on Tree-cutting and Replanting Activities within Estates,,OA,
2016-11-10,013-001-094-029-006,013-001-094-029,6,Policy on Students Getting Hurt on School Premises,,OA,
2016-11-10,013-001-094-029-007,013-001-094-029,7,Selective Relaxation on Total Debt Servicing Ratio Restrictions,,OA,
2016-11-10,013-001-094-029-008,013-001-094-029,8,Interest in Singapore Savings Bond,,OA,
2016-11-10,013-001-094-029-009,013-001-094-029,9,Income Tax (Amendment No 3) Bill,,BP,
2016-11-10,013-001-094-029-010,013-001-094-029,10,Telecommunications (Amendment) Bill,,BP,
2016-11-10,013-001-094-029-011,013-001-094-029,11,Fire Safety (Amendment) Bill,,BP,
2016-11-10,013-001-094-029-012,013-001-094-029,12,National Registration (Amendment) Bill,,BP,
2016-11-10,013-001-094-029-013,013-001-094-029,13,Child Development Co-Savings (Amendment No 2) Bill,,BP,
2016-11-10,013-001-094-029-014,013-001-094-029,14,Merchant Shipping (Maritime Labour Convention) (Amendment) Bill,,BP,
2016-11-10,013-001-094-029-015,013-001-094-029,15,Grants to IMF's Poverty Reduction and Growth Trust,Motion,OS,
2016-11-10,013-001-094-029-016,013-001-094-029,16,Grants to IMF's Catastrophe Containment and Relief Trust,Motion,OS,
2016-11-10,013-001-094-029-017,013-001-094-029,17,Subscription to the International Development Association,Motion,OS,
2016-11-10,013-001-094-029-018,013-001-094-029,18,Government Securities,Motion,OS,
2016-11-10,013-001-094-029-019,013-001-094-029,19,Adjournment,,OS,
2016-11-10,013-001-094-029-020,013-001-094-029,20,Impact on Singapore-China Relations due to Singapore's Official Stand on Trans-Pacific Partnership and Initiative on South China Sea,,WANA,
2016-11-10,013-001-094-029-021,013-001-094-029,21,Analysis of Entrepreneurial Success and Failures in Singapore,,WANA,
