Date,Topic_CID,Sitting_CID,Order,Title,Subtitle,Section_Type,Question_Count
2019-08-06,013-002-094-108-001,013-002-094-108,1,Advice to Singaporeans Working in Hong Kong Given Recent Street Protests There,,OA,
2019-08-06,013-002-094-108-002,013-002-094-108,2,Imposing Criminal Liability on Employers,,OA,
2019-08-06,013-002-094-108-003,013-002-094-108,3,Professional Conversion Programmes for Mainstream Teachers Interested in New Career as Pre-school Educators,,OA,
2019-08-06,013-002-094-108-004,013-002-094-108,4,Plans to Support Workers in Economic Slowdown and Effectiveness of Past Plans,,OA,
2019-08-06,013-002-094-108-005,013-002-094-108,5,Selection and Appointment of Members in Committee on Future Asatizah,,OA,
2019-08-06,013-002-094-108-006,013-002-094-108,6,Likelihood of Ban on Single-use Plastics for Singapore,,OA,
2019-08-06,013-002-094-108-007,013-002-094-108,7,Companies Prosecuted for Illegal Discharge of Wastewater into Public Sewage System,,OA,
2019-08-06,013-002-094-108-008,013-002-094-108,8,Extension of Duration of Bicentennial Exhibition,,OA,
2019-08-06,013-002-094-108-009,013-002-094-108,9,Reasons for Repetitive Findings of IT Lapses in Government Agencies,,OA,
2019-08-06,013-002-094-108-010,013-002-094-108,10,Achieving Goal of 80% Green Mark Buildings by 2030,,OA,
2019-08-06,013-002-094-108-011,013-002-094-108,11,Safe Usage of Park Connector Networks by Cyclists and PMD Riders,,OA,
2019-08-06,013-002-094-108-012,013-002-094-108,12,Fire-rated Doors for HDB Rental Flats Given Recent Boon Lay Fire,,OA,
2019-08-06,013-002-094-108-013,013-002-094-108,13,Grants for Fees for Faith-based Pre-schools Run by Non-profit Organisations,,OA,
2019-08-06,013-002-094-108-014,013-002-094-108,14,Assessment of Risk for Unlisted Assets in Portfolios of GIC and Temasek Holdings,,OA,
2019-08-06,013-002-094-108-015,013-002-094-108,15,Process for Granting Clinical Privileges to Medical Professionals,Ensuring clinical competence for high-risk and specialised procedures in private practice settings,OA,
2019-08-06,013-002-094-108-016,013-002-094-108,16,Comprehensive Audits of Healthcare Institutions Seeking External Accreditation for Continuous Improvement,,OA,
2019-08-06,013-002-094-108-017,013-002-094-108,17,Support for Broadcast of Research-based Children’s Educational Programming on Free-to-air Television Channels,,OA,
2019-08-06,013-002-094-108-018,013-002-094-108,18,CareShield Life and Long-Term Care Bill,,BI,
2019-08-06,013-002-094-108-019,013-002-094-108,19,Home Team Science and Technology Agency Bill,,BP,
2019-08-06,013-002-094-108-020,013-002-094-108,20,Point-to-Point Passenger Transport Industry Bill,,BP,
2019-08-06,013-002-094-108-021,013-002-094-108,21,Adjournment,,OS,
2019-08-06,013-002-094-108-022,013-002-094-108,22,Reason for Low Take-up Rate of Business and Institution of Public Character Partnership Scheme that Recognise Employee Volunteering Hours,,WANA,
2019-08-06,013-002-094-108-023,013-002-094-108,23,Number of Patients Suffering from Bedsores or Pressure Injury in Community Hospitals,,WANA,
2019-08-06,013-002-094-108-024,013-002-094-108,24,Prosecution for Sale of Illegal Weight Loss Products,,WANA,
2019-08-06,013-002-094-108-025,013-002-094-108,25,"Removal of 3,000-tonne Heap of Scrap Rubber Materials Left at Sarimbun Recycling Park",,WANA,
2019-08-06,013-002-094-108-026,013-002-094-108,26,Findings from Project to Measure Singapore’s Carbon Footprint,,WANA,
2019-08-06,013-002-094-108-027,013-002-094-108,27,Export of Singapore’s Recyclable Waste,,WANA,
2019-08-06,013-002-094-108-028,013-002-094-108,28,Violence Against Persons of Minority Sexual Orientations or Gender Identities,,WANA,
2019-08-06,013-002-094-108-029,013-002-094-108,29,Trends of Persons of Minority Sexual Orientations or Gender Identities Seeking Mental Healthcare,,WANA,
2019-08-06,013-002-094-108-030,013-002-094-108,30,Recourse for Victims When PMD Riders Speed Off After Incident,,WANA,
2019-08-06,013-002-094-108-031,013-002-094-108,31,Consideration to Make Government Financial Statements Available Online,,WA,
2019-08-06,013-002-094-108-032,013-002-094-108,32,Statistics on Divorcees Who Failed to Comply with Court Orders to Sell Their Matrimonial Flats Within Stipulated Time,,WA,
2019-08-06,013-002-094-108-033,013-002-094-108,33,Statistics on Children Below Seven Years Old and Between Seven and 12 Years Old Contracting HFMD in the Past Five Years,,WA,
2019-08-06,013-002-094-108-034,013-002-094-108,34,"Amount of Cash Paid by Singaporeans and Permanent Residents after Account Subsidies, MediShield Life and Medisave Deductions",,WA,
2019-08-06,013-002-094-108-035,013-002-094-108,35,Number of Free Trade Agreements and Studies on Their Economic and Social Benefits,,WA,
2019-08-06,013-002-094-108-036,013-002-094-108,36,Percentage of Households Switching Suppliers in Open Electricity Market,,WA,
2019-08-06,013-002-094-108-037,013-002-094-108,37,Average Per-undergraduate Student Annual Expenditure on Teaching and Education Services,,WA,
2019-08-06,013-002-094-108-038,013-002-094-108,38,Time from Lodgement of Claim at Tripartite Alliance for Dispute Management and Referral to Employment Claims Tribunal,,WA,
2019-08-06,013-002-094-108-039,013-002-094-108,39,Rationale for Setting Seven Days as Minimum Legal Entitlement for Annual Leave,,WA,
2019-08-06,013-002-094-108-040,013-002-094-108,40,Childcare Centres' Utilisation of Annual Closure Days for Each of Past Five Years,,WA,
2019-08-06,013-002-094-108-041,013-002-094-108,41,Usage of Government-paid Paternity Leave and Shared Parental Leave by Fathers in Past Five Years,,WA,
