Date,Topic_CID,Sitting_CID,Order,Title,Subtitle,Section_Type,Question_Count
2023-02-23,014-001-095-085-001,014-001-095-085,1,Commencement Time of Committee of Supply,Announcement by Speaker,OS,
2023-02-23,014-001-095-085-002,014-001-095-085,2,Proposed Job-Matching System for Workers in Cleaning and Waste Management Industry,,OA,
2023-02-23,014-001-095-085-003,014-001-095-085,3,Individuals who have Leveraged on Global Investor Programme to Qualify for Permanent Residency,,OA,
2023-02-23,014-001-095-085-004,014-001-095-085,4,Conviction and Deterrence of Road Touts,,OA,
2023-02-23,014-001-095-085-005,014-001-095-085,5,Performance and Training of Managers in Singapore,,OA,
2023-02-23,014-001-095-085-006,014-001-095-085,6,Approval for Undischarged Bankrupt to File Employment Dispute with Tripartite Alliance for Disputes Management,,OA,
2023-02-23,014-001-095-085-007,014-001-095-085,7,Employers' Declarations on Modifications to Salary Terms for Work Permit Holders,,OA,
2023-02-23,014-001-095-085-008,014-001-095-085,8,Frequency of and Items Checked in PUB's Fire Hydrant Inspections,,OA,
2023-02-23,014-001-095-085-009,014-001-095-085,9,Debate on Annual Budget Statement,,OS,
2023-02-23,014-001-095-085-010,014-001-095-085,10,Adjournment of Debate,,OS,
2023-02-23,014-001-095-085-011,014-001-095-085,11,Adjournment,,OS,
2023-02-23,014-001-095-085-012,014-001-095-085,12,"Increases in Starting Salaries for House Officers, Medical Officers and Junior Residents in Public Healthcare System",,WANA,
2023-02-23,014-001-095-085-013,014-001-095-085,13,Impact of Surge of Wealth from Investments by Family Offices on Income Gap in Singapore,,WANA,
2023-02-23,014-001-095-085-014,014-001-095-085,14,Community Volunteers who Engage and Pay Vendors for Grassroots Services,,WANA,
2023-02-23,014-001-095-085-015,014-001-095-085,15,Support for Elderly and Unskilled Workers At Risk of Being Replaced by Automation,,WANA,
2023-02-23,014-001-095-085-016,014-001-095-085,16,Revision to Cancer Drug List and Impact on Integrated Shield Plans' Coverage of Cancer Treatments,,WANA,
2023-02-23,014-001-095-085-017,014-001-095-085,17,Government Officers Allocated to Deal with Wildlife Trade,,WANA,
2023-02-23,014-001-095-085-018,014-001-095-085,18,Due Diligence Checks on New Clients Opening Accounts to Prevent Mule Accounts for Scams,,WA,
2023-02-23,014-001-095-085-019,014-001-095-085,19,Working with International Partners and Financial Institutions to Tackle Cross-border Money Laundering,,WA,
2023-02-23,014-001-095-085-020,014-001-095-085,20,"Foreign Domestic Worker Levy Relief for Married Women, and Divorced or Widowed Women without School-going Children",,WA,
2023-02-23,014-001-095-085-021,014-001-095-085,21,Actions to Prevent Foreigners from Staying Illegally in Singapore Following Cancellation of Work Pass,,WA,
2023-02-23,014-001-095-085-022,014-001-095-085,22,Impact of Market Players' Anti-competitive Behaviours on High Food Prices,,WA,
2023-02-23,014-001-095-085-023,014-001-095-085,23,Data on Use of Child Car Seats in Private Hire Vehicles and Instances of Non-compliance,,WA,
2023-02-23,014-001-095-085-024,014-001-095-085,24,Contamination Rate of Recyclables for HDB Flats with Centralised Chute for Recyclables,,WA,
2023-02-23,014-001-095-085-025,014-001-095-085,25,Discretion for Primary Schools to Admit Primary One Students Directly and Ahead of Balloting,,WA,
2023-02-23,014-001-095-085-026,014-001-095-085,26,"Discontinuation of ""It's OKAY to Reach Out"" Campaign for Mental Health",,WA,
2023-02-23,014-001-095-085-027,014-001-095-085,27,Data on Site Expiry Dates for HDB Flats Introduced under Parenthood Provisional Housing Scheme,,WA,
2023-02-23,014-001-095-085-028,014-001-095-085,28,Companies Investigated for Unauthorised Salary Deductions from Employment Pass Holders,,WA,
2023-02-23,014-001-095-085-029,014-001-095-085,29,Number of Stay-at-home Moms and Efforts to Help Them Seek Employment,,WA,
