Date,Topic_CID,Sitting_CID,Order,Title,Subtitle,Section_Type,Question_Count
2017-07-03,013-001-094-047-001,013-001-094-047,1,Petition ,Relocation of Sungei Road Market and Stallholders,OS,
2017-07-03,013-001-094-047-002,013-001-094-047,2,Managing Parking and Use of Bicycles from Bike-sharing Schemes,,OA,
2017-07-03,013-001-094-047-003,013-001-094-047,3,Prosecution for Hirers of Bicycles who Damage Bicycles Illegally,,OA,
2017-07-03,013-001-094-047-004,013-001-094-047,4,Help for Vendors Displaced by Closing of Sungei Road Hawking Zone,,OA,
2017-07-03,013-001-094-047-005,013-001-094-047,5,Personal or Pecuniary Interests of Ministers and Senior Officeholders,,OA,
2017-07-03,013-001-094-047-006,013-001-094-047,6,Release of Information Related to Deeds of Gifts,,OA,
2017-07-03,013-001-094-047-007,013-001-094-047,7,Criteria for Merging Schools and Junior Colleges,,OA,
2017-07-03,013-001-094-047-008,013-001-094-047,8,Scope and Terms of Reference of Future Economy Council,,OA,
2017-07-03,013-001-094-047-009,013-001-094-047,9,Administration of Muslim Law (Amendment) Bill,,BI,
2017-07-03,013-001-094-047-010,013-001-094-047,10,Alleged Abuse of Power on 38 Oxley Road,Statement by Prime Minister,OS,
2017-07-03,013-001-094-047-011,013-001-094-047,11, Ministerial Committee on 38 Oxley Road,Statement by Deputy Prime Minister,OS,
2017-07-03,013-001-094-047-012,013-001-094-047,12,38 Oxley Road,Debate on Ministerial Statements,OS,
2017-07-03,013-001-094-047-013,013-001-094-047,13,Extension of a Sitting,In Parliament,OS,
2017-07-03,013-001-094-047-014,013-001-094-047,14,38 Oxley Road,Debate on Ministerial Statements,OS,
2017-07-03,013-001-094-047-015,013-001-094-047,15,Adjournment of Debate,,OS,
2017-07-03,013-001-094-047-016,013-001-094-047,16,Adjournment,,OS,
2017-07-03,013-001-094-047-017,013-001-094-047,17,Lease Extensions for Older Residents in Lorong 3 Geylang Homes,,WANA,
2017-07-03,013-001-094-047-018,013-001-094-047,18,Update on Telepharmacy Project,,WANA,
2017-07-03,013-001-094-047-019,013-001-094-047,19,Lessons for Singapore from Fire Tragedy at Grenfell Tower in London,,WANA,
2017-07-03,013-001-094-047-020,013-001-094-047,20,Government's Benchmark for Annualised Real Rate of Return for GIC and Temasek Holdings,,WANA,
2017-07-03,013-001-094-047-021,013-001-094-047,21,Impact of GIC's Divestment in UBS on Rate of Return for Government's Investment Portfolio,,WANA,
2017-07-03,013-001-094-047-022,013-001-094-047,22,Complaints by Residents for HDB Flats Legally Rented Out by Homeowners,,WANA,
2017-07-03,013-001-094-047-023,013-001-094-047,23,Waiver of Accrued Interest on Resale Levy of HDB Flats,,WANA,
2017-07-03,013-001-094-047-024,013-001-094-047,24,Proposal for HDB Rents to be Based on Per Capita Income,,WANA,
2017-07-03,013-001-094-047-025,013-001-094-047,25,"Schools Counselling for Students on ""Performance-enhancement"" Substances",,WANA,
2017-07-03,013-001-094-047-026,013-001-094-047,26,Students Identified by Counsellors or Teachers to be Vulnerable to Extremist Propaganda,,WANA,
2017-07-03,013-001-094-047-027,013-001-094-047,27,Safeguards against Possibility of Terrorist Attack Using a Vehicle,,WANA,
