Date,Sitting_CID,MP_Name,Attendance
2019-02-26,013-002-094-093,Mr SPEAKER (Mr Tan Chuan-Jin (Marine Parade)).,True
2019-02-26,013-002-094-093,"Mr Amrin Amin (Sembawang), Senior Parliamentary Secretary to the Ministers for Health and Home Affairs.",True
2019-02-26,013-002-094-093,Mr Ang Hin Kee (Ang Mo Kio).,True
2019-02-26,013-002-094-093,Mr Ang Wei Neng (Jurong).,True
2019-02-26,013-002-094-093,"Mr Baey Yam Keng (Tampines), Senior Parliamentary Secretary to the Ministers for Culture, Community and Youth and Transport.",True
2019-02-26,013-002-094-093,"Mr Chan Chun Sing (Tanjong Pagar), Minister for Trade and Industry and Government Whip.",True
2019-02-26,013-002-094-093,Miss Cheryl Chan Wei Ling (Fengshan).,True
2019-02-26,013-002-094-093,"Mr Chee Hong Tat (Bishan-Toa Payoh), Senior Minister of State for Education and Trade and Industry.",True
2019-02-26,013-002-094-093,Mr Chen Show Mao (Aljunied).,True
2019-02-26,013-002-094-093,Miss Cheng Li Hui (Tampines).,True
2019-02-26,013-002-094-093,Dr Chia Shi-Lu (Tanjong Pagar).,True
2019-02-26,013-002-094-093,"Mr Charles Chong (Punggol East), Deputy Speaker.",True
2019-02-26,013-002-094-093,Mr Chong Kee Hiong (Bishan-Toa Payoh).,True
2019-02-26,013-002-094-093,Mr Desmond Choo (Tampines).,True
2019-02-26,013-002-094-093,Mr Darryl David (Ang Mo Kio).,True
2019-02-26,013-002-094-093,Mr Christopher de Souza (Holland-Bukit Timah).,True
2019-02-26,013-002-094-093,Mr Arasu Duraisamy (Nominated Member).,True
2019-02-26,013-002-094-093,Prof Fatimah Lateef (Marine Parade).,True
2019-02-26,013-002-094-093,Mr Cedric Foo Chee Keng (Pioneer).,True
2019-02-26,013-002-094-093,Mr Douglas Foo (Nominated Member).,True
2019-02-26,013-002-094-093,Ms Foo Mee Har (West Coast).,True
2019-02-26,013-002-094-093,"Ms Grace Fu Hai Yien (Yuhua), Minister for Culture, Community and Youth and Leader of the House.",True
2019-02-26,013-002-094-093,"Mr Gan Kim Yong (Chua Chu Kang), Minister for Health.",True
2019-02-26,013-002-094-093,Mr Gan Thiam Poh (Ang Mo Kio).,True
2019-02-26,013-002-094-093,Mr Goh Chok Tong (Marine Parade).,True
2019-02-26,013-002-094-093,Assoc Prof Daniel Goh Pei Siong (Non-Constituency Member).,True
2019-02-26,013-002-094-093,"Mr Heng Chee How (Jalan Besar), Senior Minister of State for Defence.",True
2019-02-26,013-002-094-093,"Mr Heng Swee Keat (Tampines), Minister for Finance.",True
2019-02-26,013-002-094-093,Mr Terence Ho Wee San (Nominated Member).,True
2019-02-26,013-002-094-093,"Ms Indranee Rajah (Tanjong Pagar), Minister, Prime Minister's Office and Second Minister for Education and Finance.",True
2019-02-26,013-002-094-093,Dr Intan Azura Mokhtar (Ang Mo Kio).,True
2019-02-26,013-002-094-093,"Dr Janil Puthucheary (Pasir Ris-Punggol), Senior Minister of State for Communications and Information and Transport.",True
