Date,Sitting_CID,MP_Name,Attendance
2018-03-05,013-001-094-065,Mr SPEAKER (Mr Tan Chuan-Jin (Marine Parade)).,True
2018-03-05,013-001-094-065,"Mr Amrin Amin (Sembawang), Parliamentary Secretary to the Minister for Health and Home Affairs.",True
2018-03-05,013-001-094-065,Mr Ang Hin Kee (Ang Mo Kio).,True
2018-03-05,013-001-094-065,Mr Ang Wei Neng (Jurong).,True
2018-03-05,013-001-094-065,Mr Azmoon Ahmad (Nominated Member).,True
2018-03-05,013-001-094-065,"Mr Baey Yam Keng (Tampines), Parliamentary Secretary to the Minister for Culture, Community and Youth.",True
2018-03-05,013-001-094-065,"Mr Chan Chun Sing (Tanjong Pagar), Minister, Prime Minister's Office and Government Whip.",True
2018-03-05,013-001-094-065,Miss Cheryl Chan Wei Ling (Fengshan).,True
2018-03-05,013-001-094-065,"Mr Chee Hong Tat (Bishan-Toa Payoh), Senior Minister of State for Communications and Information and Health.",True
2018-03-05,013-001-094-065,Mr Chen Show Mao (Aljunied).,True
2018-03-05,013-001-094-065,Miss Cheng Li Hui (Tampines).,True
2018-03-05,013-001-094-065,Dr Chia Shi-Lu (Tanjong Pagar).,True
2018-03-05,013-001-094-065,Ms Chia Yong Yong (Nominated Member).,True
2018-03-05,013-001-094-065,"Mr Charles Chong (Punggol East), Deputy Speaker.",True
2018-03-05,013-001-094-065,Mr Chong Kee Hiong (Bishan-Toa Payoh).,True
2018-03-05,013-001-094-065,Mr Desmond Choo (Tampines).,True
2018-03-05,013-001-094-065,Mr Thomas Chua Kee Seng (Nominated Member).,True
2018-03-05,013-001-094-065,Mr Darryl David (Ang Mo Kio).,True
2018-03-05,013-001-094-065,Mr Christopher de Souza (Holland-Bukit Timah).,True
2018-03-05,013-001-094-065,Assoc Prof Fatimah Lateef (Marine Parade).,True
2018-03-05,013-001-094-065,Mr Cedric Foo Chee Keng (Pioneer).,True
2018-03-05,013-001-094-065,Ms Foo Mee Har (West Coast).,True
2018-03-05,013-001-094-065,"Ms Grace Fu Hai Yien (Yuhua), Minister for Culture, Community and Youth and Leader of the House.",True
2018-03-05,013-001-094-065,"Mr Gan Kim Yong (Chua Chu Kang), Minister for Health.",True
2018-03-05,013-001-094-065,Mr Gan Thiam Poh (Ang Mo Kio).,True
2018-03-05,013-001-094-065,Mr Ganesh Rajaram (Nominated Member).,True
2018-03-05,013-001-094-065,Mr Goh Chok Tong (Marine Parade).,True
2018-03-05,013-001-094-065,Assoc Prof Daniel Goh Pei Siong (Non-Constituency Member).,True
2018-03-05,013-001-094-065,"Mr Heng Chee How (Jalan Besar), Senior Minister of State, Prime Minister's Office.",True
2018-03-05,013-001-094-065,"Mr Heng Swee Keat (Tampines), Minister for Finance.",True
2018-03-05,013-001-094-065,"Ms Indranee Rajah (Tanjong Pagar), Senior Minister of State for Finance and Law.",True
2018-03-05,013-001-094-065,Dr Intan Azura Mokhtar (Ang Mo Kio).,True
2018-03-05,013-001-094-065,"Mr S Iswaran (West Coast), Minister for Trade and Industry (Industry).",True
2018-03-05,013-001-094-065,"Dr Janil Puthucheary (Pasir Ris-Punggol), Senior Minister of State for Communications and Information and Education.",True
2018-03-05,013-001-094-065,"Mr Khaw Boon Wan (Sembawang), Coordinating Minister for Infrastructure and Minister for Transport.",True
2018-03-05,013-001-094-065,"Dr Amy Khor Lean Suan (Hong Kah North), Senior Minister of State for Health and the Environment and Water Resources.",True
2018-03-05,013-001-094-065,"Dr Koh Poh Koon (Ang Mo Kio), Senior Minister of State for National Development and Trade and Industry.",True
2018-03-05,013-001-094-065,Mr Kok Heng Leun (Nominated Member).,True
2018-03-05,013-001-094-065,Ms Kuik Shiao-Yin (Nominated Member).,True
2018-03-05,013-001-094-065,Mr Kwek Hian Chuan Henry (Nee Soon).,True
2018-03-05,013-001-094-065,"Dr Lam Pin Min (Sengkang West), Senior Minister of State for Health and Transport.",True
2018-03-05,013-001-094-065,Er Dr Lee Bee Wah (Nee Soon).,True
2018-03-05,013-001-094-065,"Mr Desmond Lee (Jurong), Minister for Social and Family Development, Second Minister for National Development and Deputy Leader of the House.",True
2018-03-05,013-001-094-065,"Mr Lee Hsien Loong (Ang Mo Kio), Prime Minister.",True
