Date,Topic_CID,Sitting_CID,Order,Title,Subtitle,Section_Type,Question_Count
2012-09-10,012-001-089-006-001,012-001-089-006,1,Estimates Committee,Announcement by Mr Speaker,OS,
2012-09-10,012-001-089-006-002,012-001-089-006,2,Review of Singapore Interbank Offered Rate-setting Regime,,OA,
2012-09-10,012-001-089-006-003,012-001-089-006,3,Tender and Evaluation Process for Bicycles Purchased by NParks,,OA,
2012-09-10,012-001-089-006-004,012-001-089-006,4,Funding Sources for Malay/Muslim Organisations,,OA,
2012-09-10,012-001-089-006-005,012-001-089-006,5,National Strategy to Promote Safe Cycling on the Roads,,OA,
2012-09-10,012-001-089-006-006,012-001-089-006,6,Further Refinement of Primary 1 Registration Exercise,,OA,
2012-09-10,012-001-089-006-007,012-001-089-006,7,Worksite Accident at Downtown Line Bugis Station,,OA,
2012-09-10,012-001-089-006-008,012-001-089-006,8,Qualifying Tests for Foreign-trained Medical Professionals,,OA,
2012-09-10,012-001-089-006-009,012-001-089-006,9,Singapore's Pull-out from 2013 Venice Biennale,,OA,
2012-09-10,012-001-089-006-010,012-001-089-006,10,Statutes (Miscellaneous Amendments) (No 2) Bill,,BI,
2012-09-10,012-001-089-006-011,012-001-089-006,11,Personal Data Protection Bill,,BI,
2012-09-10,012-001-089-006-012,012-001-089-006,12,Civil Law (Amendment) Bill,,BI,
2012-09-10,012-001-089-006-013,012-001-089-006,13,Voluntary Sterilization (Amendment) Bill,,BI,
2012-09-10,012-001-089-006-014,012-001-089-006,14,Parliamentary Pensions (Abolition) Bill,,BP,
2012-09-10,012-001-089-006-015,012-001-089-006,15,Civil List and Pension (Amendment) Bill,,BP,
2012-09-10,012-001-089-006-016,012-001-089-006,16,Goods and Services Tax (Amendment) Bill,,BP,
2012-09-10,012-001-089-006-017,012-001-089-006,17,Building Control (Amendment) Bill,,BP,
2012-09-10,012-001-089-006-018,012-001-089-006,18,Central Provident Fund (Amendment) Bill,,BP,
2012-09-10,012-001-089-006-019,012-001-089-006,19,Proposal for Transforming the Childcare Sector,,OS,
2012-09-10,012-001-089-006-020,012-001-089-006,20,Average Waiting Time for BTO Flats from 2009 to 2012,,WANA,
2012-09-10,012-001-089-006-021,012-001-089-006,21,Student to Faculty Ratio at Autonomous Universities,,WANA,
2012-09-10,012-001-089-006-022,012-001-089-006,22,Update on Take-up Rate for Ultra-fast Fibre Broadband Network,,WANA,
2012-09-10,012-001-089-006-023,012-001-089-006,23,Trend in Number of Permanent Residences and Singapore Citizenships Granted,,WANA,
2012-09-10,012-001-089-006-024,012-001-089-006,24,Diagnosis of Asperger's Syndrome amongst National Servicemen,,WANA,
2012-09-10,012-001-089-006-025,012-001-089-006,25,Contract Variation to Allow for Immediate Wage Increase for Cleaners Hired to Work at Government Agencies,,WANA,
2012-09-10,012-001-089-006-026,012-001-089-006,26,Termination of MediShield Policies due to Non-payment,,WANA,
2012-09-10,012-001-089-006-027,012-001-089-006,27,Revenues Generated from Formula One Grand Prix Races since 2008,,WANA,
2012-09-10,012-001-089-006-028,012-001-089-006,28,Number of Foreign Spouses with Long-Term Visit Passes and Take-up Rate for Long-Term Visit Pass Plus,,WANA,
2012-09-10,012-001-089-006-029,012-001-089-006,29,Factors in Determining Foreign Worker Dependency Ratios for Industries,,WANA,
2012-09-10,012-001-089-006-030,012-001-089-006,30,Enforcing Legislation to Reduce Air Pollution from Idling Cars,,WANA,
2012-09-10,012-001-089-006-031,012-001-089-006,31,Qualifying Criteria for Non-profit Anchor Pre-school Operators,,WANA,
2012-09-10,012-001-089-006-032,012-001-089-006,32,Ban on Sale of Tobacco,,WANA,
2012-09-10,012-001-089-006-033,012-001-089-006,33,Domestic Violence amongst Live-in Partners,,WANA,
2012-09-10,012-001-089-006-034,012-001-089-006,34,Mapping ITE and Polytechnic Curricula to Industry Demands,,WANA,
2012-09-10,012-001-089-006-035,012-001-089-006,35,Government's Target in Transport Mode Share,,WANA,
2012-09-10,012-001-089-006-036,012-001-089-006,36,Claw-back on Past COE Over-supply,,WANA,
2012-09-10,012-001-089-006-037,012-001-089-006,37,Independent Research Firm to Collate Findings for Annual Graduate Employment Survey,,WANA,
2012-09-10,012-001-089-006-038,012-001-089-006,38,Use of Funds under the Foreign Sporting Talent Scheme,,WANA,
2012-09-10,012-001-089-006-039,012-001-089-006,39,Complaints on Bird Nuisance,,WANA,
2012-09-10,012-001-089-006-040,012-001-089-006,40,Overcrowding in Public Transport,,WANA,
2012-09-10,012-001-089-006-041,012-001-089-006,41,Action Plans in Case of Flooding at Underground MRT Stations,,WANA,
2012-09-10,012-001-089-006-042,012-001-089-006,42,Review on Format of Singapore Youth Festival,,WANA,
2012-09-10,012-001-089-006-043,012-001-089-006,43,Availability of Autonomous Universities' Resources to Encourage Open Learning,,WANA,
2012-09-10,012-001-089-006-044,012-001-089-006,44,Funds Given to Community Committees Supported by People's Association,,WANA,
2012-09-10,012-001-089-006-045,012-001-089-006,45,Roadside Parking along Public Roads in Private Estates,,WANA,
2012-09-10,012-001-089-006-046,012-001-089-006,46,Monitoring of Tuition Centres and Agencies,,WANA,
2012-09-10,012-001-089-006-047,012-001-089-006,47,More Primary Schools in Mature Estates,,WANA,
2012-09-10,012-001-089-006-048,012-001-089-006,48,Publicity of Various Community Help Schemes,,WANA,
2012-09-10,012-001-089-006-049,012-001-089-006,49,Average Working Hours of Public Transport Drivers,,WANA,
2012-09-10,012-001-089-006-050,012-001-089-006,50,Actual Average Weekly Work Hours of Civil Servants,,WA,
2012-09-10,012-001-089-006-051,012-001-089-006,51,Licensed Armed and Unarmed Security Officers,,WA,
2012-09-10,012-001-089-006-052,012-001-089-006,52,Housebreaking and Thefts in Dwellings,,WA,
2012-09-10,012-001-089-006-053,012-001-089-006,53,Data on Business Costs,,WA,
2012-09-10,012-001-089-006-054,012-001-089-006,54,Singapore's Participation at Venice Biennale over the Years,,WA,
2012-09-10,012-001-089-006-055,012-001-089-006,55,Lift Upgrading Programme (LUP) for Blocks with Single Lift,,WA,
2012-09-10,012-001-089-006-056,012-001-089-006,56,Review on Silver Housing Bonus Scheme,,WA,
2012-09-10,012-001-089-006-057,012-001-089-006,57,Ownership and Rental of HDB Commercial Premises,,WA,
2012-09-10,012-001-089-006-058,012-001-089-006,58,Applications under the HDB Fiance/Fiancee Scheme,,WA,
2012-09-10,012-001-089-006-059,012-001-089-006,59,Government's Total Expenditure on National Day Parade,,WA,
2012-09-10,012-001-089-006-060,012-001-089-006,60,Tracking and Reporting the Pollutant Standards Index (PSI),,WA,
2012-09-10,012-001-089-006-061,012-001-089-006,61,Claims before Small Claims Tribunal,,WA,
2012-09-10,012-001-089-006-062,012-001-089-006,62,Qualifying Criteria for Community Health Assist Scheme (CHAS),,WA,
2012-09-10,012-001-089-006-063,012-001-089-006,63,Expected Improvements in Sembawang Town under the Bus Services Enhancement Programme (BSEP),,WA,
2012-09-10,012-001-089-006-064,012-001-089-006,64,Adequacy of $1.1 Billion Bus Services Enhancement Programme,,WA,
2012-09-10,012-001-089-006-065,012-001-089-006,65,ERP Gantries and Charges,,WA,
2012-09-10,012-001-089-006-066,012-001-089-006,66,Degree Programmes offered by Universities,,WA,
2012-09-10,012-001-089-006-067,012-001-089-006,67,Collaborations between Singapore and Overseas Universities,,WA,
2012-09-10,012-001-089-006-068,012-001-089-006,68,Allocation of New Void Deck Childcare Centres,,WA,
2012-09-10,012-001-089-006-069,012-001-089-006,69,Provision of Proper Accommodation for Foreign Workers,,WA,
2012-09-10,012-001-089-006-070,012-001-089-006,70,Impact of Reduction of Foreign Workers on SMEs,,WA,
2012-09-10,012-001-089-006-071,012-001-089-006,71,Assistance to SMEs on Hiring of Locals,,WA,
