Date,Topic_CID,Sitting_CID,Order,Title,Subtitle,Section_Type,Question_Count
2018-02-27,013-001-094-061-001,013-001-094-061,1,False Information Provided to Secure Primary School Places,,OA,
2018-02-27,013-001-094-061-002,013-001-094-061,2,Trespass and Unauthorised Access to Private Properties and Restricted Areas,,OA,
2018-02-27,013-001-094-061-003,013-001-094-061,3,Sexual Harassment Cases at the Workplace and Through Use of Technology,,OA,
2018-02-27,013-001-094-061-004,013-001-094-061,4,Tuition Assistance at Relevant Ethnic Self-help Group for Mother Tongue Language,,OA,
2018-02-27,013-001-094-061-005,013-001-094-061,5,Accountability of Food Delivery and Courier Service Companies for Work-related Traffic Accidents,,OA,
2018-02-27,013-001-094-061-006,013-001-094-061,6,Higher Standard of Living while Maintaining Lower Cost of Living,,OA,
2018-02-27,013-001-094-061-007,013-001-094-061,7,Rental as Percentage of Total Expenses of SMEs,,OA,
2018-02-27,013-001-094-061-008,013-001-094-061,8,Growth in International Passenger Numbers at Changi Airport,,OA,
2018-02-27,013-001-094-061-009,013-001-094-061,9,Impact of SkillsFuture on Employability of Graduates above Age 40,,OA,
2018-02-27,013-001-094-061-010,013-001-094-061,10,Safeguard Working Conditions of Postmen,,OA,
2018-02-27,013-001-094-061-011,013-001-094-061,11,Competition (Amendment) Bill,,BI,
2018-02-27,013-001-094-061-012,013-001-094-061,12,Regulation of Imports and Exports (Amendment) Bill,,BI,
2018-02-27,013-001-094-061-013,013-001-094-061,13,Films (Amendment) Bill,,BI,
2018-02-27,013-001-094-061-014,013-001-094-061,14,Public Order and Safety (Special Powers) Bill,,BI,
2018-02-27,013-001-094-061-015,013-001-094-061,15,Common Services Tunnels Bill,,BI,
2018-02-27,013-001-094-061-016,013-001-094-061,16,Debate on Annual Budget Statement,,OS,
2018-02-27,013-001-094-061-017,013-001-094-061,17,Adjournment of Debate,,OS,
2018-02-27,013-001-094-061-018,013-001-094-061,18,Adjournment,,OS,
2018-02-27,013-001-094-061-019,013-001-094-061,19,Root Cause of Human Error that Led to NETS Service Outage and Preventive Measures for Future Recurrence,,WANA,
2018-02-27,013-001-094-061-020,013-001-094-061,20,Rise in Security Expenditure and Impact on Cost of Living in Singapore,,WANA,
2018-02-27,013-001-094-061-021,013-001-094-061,21,Investigations into Cause for Escalators Catching Fire,,WANA,
2018-02-27,013-001-094-061-022,013-001-094-061,22,Follow-up Medical Care for Released Prison Inmates,,WANA,
2018-02-27,013-001-094-061-023,013-001-094-061,23,Plans to Cover Domestic Workers under Employment Act,,WA,
2018-02-27,013-001-094-061-024,013-001-094-061,24,Compliance Rate of Employers in Cases of Non-Payment of Arrears,,WA,
2018-02-27,013-001-094-061-025,013-001-094-061,25,Authenticity and Accuracy of Description of Jobs Advertised on Internet-based Job Portals,,WA,
2018-02-27,013-001-094-061-026,013-001-094-061,26,Profile and Success Rate of Singapore Start-ups,,WA,
2018-02-27,013-001-094-061-027,013-001-094-061,27,Criteria for Retention of Central Cluster over Other Buildings in Dakota Crescent,,WA,
2018-02-27,013-001-094-061-028,013-001-094-061,28,Update on Plans to Enhance Mandatory Waste Reporting Requirements by Supermarkets,,WA,
