Date,Topic_CID,Sitting_CID,Order,Title,Subtitle,Section_Type,Question_Count
2021-07-27,014-001-095-034-001,014-001-095-034,1,Enforcing Safe Distancing Measures on Trains and Public Buses and Managing Commuter Volume during Phase Three (Heightened Alert),,OA,
2021-07-27,014-001-095-034-002,014-001-095-034,2,Impact of Impending Winding Down of Jobs Support Scheme on Retrenchment and Unemployment,,OA,
2021-07-27,014-001-095-034-003,014-001-095-034,3,"Plans for Marine and Offshore Engineering Sector, Singapore's Carbon Utilisation and Storage, and Low-carbon Hydrogen Sector",,OA,
2021-07-27,014-001-095-034-004,014-001-095-034,4,Singapore's Reliance on Nurses from Philippines and Impact on Local Nursing Workforce Numbers Following Recent Suspension,,OA,
2021-07-27,014-001-095-034-005,014-001-095-034,5,Increasing Proportion of BTO Flats within Mature Estates for Married Child Priority Scheme to Facilitate Inter-Generational Familial Support,,OA,
2021-07-27,014-001-095-034-006,014-001-095-034,6,Number and Actions against Salary Kickback Offences,,OA,
2021-07-27,014-001-095-034-007,014-001-095-034,7,Plans for Zero Emissions Transport System in Jurong Innovation District and Existing Jurong Industrial Areas,,OA,
2021-07-27,014-001-095-034-008,014-001-095-034,8,Extent of Employer's Responsibility for Migrant Domestic Worker's Medical Fees for Treatment Resulting from Worker's Social Activity during Personal Time-Off,,OA,
2021-07-27,014-001-095-034-009,014-001-095-034,9,Raising of Re-employment Age at Organisations that Receive Significant Direct or Indirect Government Funding,,OA,
2021-07-27,014-001-095-034-010,014-001-095-034,10,Adoption Rates of Electric Passenger Vehicles ,,OA,
2021-07-27,014-001-095-034-011,014-001-095-034,11,Permitting Higher Voluntary Savings Amounts under CPF LIFE ,,OA,
2021-07-27,014-001-095-034-012,014-001-095-034,12,Proposal to Increase Minimum Amount of Annual Leave Entitlement ,,OA,
2021-07-27,014-001-095-034-013,014-001-095-034,13,Update on Singapore Islamic College and Postgraduate Certificate in Islam in Contemporary Societies Programme ,,OA,
