Date,Sitting_CID,MP_Name,Attendance
2023-09-18,014-002-095-111,Miss Cheryl Chan Wei Ling (East Coast).,False
2023-09-18,014-002-095-111,"Mr S Iswaran (West Coast), Minister for Transport and Minister-in-charge of Trade Relations.",False
2023-09-18,014-002-095-111,"Ms Low Yen Ling (Chua Chu Kang), Minister of State for Culture, Community and Youth and Trade and Industry.",False
2023-09-18,014-002-095-111,"Dr Mohamad Maliki Bin Osman (East Coast), Minister, Prime Minister's Office and Second Minister for Education and Foreign Affairs.",False
2023-09-18,014-002-095-111,Ms Nadia Ahmad Samdin (Ang Mo Kio).,False
2023-09-18,014-002-095-111,Miss Rachel Ong (West Coast).,False
2023-09-18,014-002-095-111,"Mr Ong Ye Kung (Sembawang), Minister for Health.",False
2023-09-18,014-002-095-111,Ms Tin Pei Ling (MacPherson).,False
2023-09-18,014-002-095-111,"Dr Vivian Balakrishnan (Holland-Bukit Timah), Minister for Foreign Affairs.",False
2023-09-18,014-002-095-111,Mr SPEAKER (Mr Seah Kian Peng (Marine Parade)). ,True
2023-09-18,014-002-095-111,Mr Ang Wei Neng (West Coast). ,True
2023-09-18,014-002-095-111,"Mr Baey Yam Keng (Tampines), Senior Parliamentary Secretary to the Minister for Sustainability and the Environment and Minister for Transport. ",True
2023-09-18,014-002-095-111,"Mr Chan Chun Sing (Tanjong Pagar), Minister for Education. ",True
2023-09-18,014-002-095-111,Ms Usha Chandradas (Nominated Member). ,True
2023-09-18,014-002-095-111,"Mr Chee Hong Tat (Bishan-Toa Payoh), Senior Minister of State for Finance and Transport. ",True
2023-09-18,014-002-095-111,Mr Edward Chia Bing Hui (Holland-Bukit Timah). ,True
2023-09-18,014-002-095-111,Mr Chong Kee Hiong (Bishan-Toa Payoh). ,True
2023-09-18,014-002-095-111,Mr Desmond Choo (Tampines). ,True
2023-09-18,014-002-095-111,"Mr Eric Chua (Tanjong Pagar), Senior Parliamentary Secretary to the Minister for Culture, Community and Youth and Minister for Social and Family Development. ",True
2023-09-18,014-002-095-111,Mr Keith Chua (Nominated Member). ,True
2023-09-18,014-002-095-111,Mr Chua Kheng Wee Louis (Sengkang). ,True
2023-09-18,014-002-095-111,Mr Darryl David (Ang Mo Kio). ,True
2023-09-18,014-002-095-111,"Mr Christopher de Souza (Holland-Bukit Timah), Deputy Speaker. ",True
2023-09-18,014-002-095-111,Ms Foo Mee Har (West Coast). ,True
2023-09-18,014-002-095-111,"Ms Grace Fu Hai Yien (Yuhua), Minister for Sustainability and the Environment. ",True
2023-09-18,014-002-095-111,"Mr Gan Kim Yong (Chua Chu Kang), Minister for Trade and Industry. ",True
2023-09-18,014-002-095-111,"Ms Gan Siow Huang (Marymount), Minister of State for Education and Manpower. ",True
2023-09-18,014-002-095-111,Mr Gan Thiam Poh (Ang Mo Kio). ,True
2023-09-18,014-002-095-111,Mr Gerald Giam Yean Song (Aljunied). ,True
2023-09-18,014-002-095-111,Mr Derrick Goh (Nee Soon). ,True
2023-09-18,014-002-095-111,Ms He Ting Ru (Sengkang). ,True
2023-09-18,014-002-095-111,"Mr Heng Chee How (Jalan Besar), Senior Minister of State for Defence. ",True
2023-09-18,014-002-095-111,"Mr Heng Swee Keat (East Coast), Deputy Prime Minister and Coordinating Minister for Economic Policies. ",True
2023-09-18,014-002-095-111,Mr Shawn Huang Wei Zhong (Jurong). ,True
2023-09-18,014-002-095-111,"Ms Indranee Rajah (Tanjong Pagar), Minister, Prime Minister's Office and Second Minister for Finance and National Development and Leader of the House. ",True
2023-09-18,014-002-095-111,"Dr Janil Puthucheary (Pasir Ris-Punggol), Senior Minister of State for Communications and Information and Health and Government Whip. ",True
2023-09-18,014-002-095-111,"Dr Amy Khor Lean Suan (Hong Kah North), Senior Minister of State for Sustainability and the Environment and Transport. ",True
2023-09-18,014-002-095-111,"Dr Koh Poh Koon (Tampines), Senior Minister of State for Manpower and Sustainability and the Environment. ",True
2023-09-18,014-002-095-111,Mr Kwek Hian Chuan Henry (Kebun Baru). ,True
2023-09-18,014-002-095-111,"Mr Desmond Lee (West Coast), Minister for National Development, Minister-in-charge of Social Services Integration. ",True
