Date,Topic_CID,Sitting_CID,Order,Title,Subtitle,Section_Type,Question_Count
2016-04-05,013-001-094-012-001,013-001-094-012,1,Time Allocation for Committee of Supply,Announcement by Mdm Speaker,OS,
2016-04-05,013-001-094-012-002,013-001-094-012,2,Free Parking at Government Agencies' Car Parks,,OA,
2016-04-05,013-001-094-012-003,013-001-094-012,3,Installation of Barriers at Void Decks and Other Common Spaces,,OA,
2016-04-05,013-001-094-012-004,013-001-094-012,4,In-vehicle Register for Heavy Vehicles to Record Exceeding of Speed Limit,,OA,
2016-04-05,013-001-094-012-005,013-001-094-012,5,Students Attending International Schools,,OA,
2016-04-05,013-001-094-012-006,013-001-094-012,6,Location of Merged School at Bedok North Secondary School,,OA,
2016-04-05,013-001-094-012-007,013-001-094-012,7,Recognition of Experience of Ex-teachers who Rejoin Teaching Service,,OA,
2016-04-05,013-001-094-012-008,013-001-094-012,8,Adequacy of Places for Home Care and Centre-based Care Services for Elderly,,OA,
2016-04-05,013-001-094-012-009,013-001-094-012,9,Nationalities of Engineers Working in Singapore,,OA,
2016-04-05,013-001-094-012-010,013-001-094-012,10,Debate on Annual Budget Statement,,OS,
2016-04-05,013-001-094-012-011,013-001-094-012,11,Adjournment of Debate,,OS,
2016-04-05,013-001-094-012-012,013-001-094-012,12,Adjournment,,OS,
2016-04-05,013-001-094-012-013,013-001-094-012,13,Deferment of Collection of Keys for BTO Flats,,WANA,
2016-04-05,013-001-094-012-014,013-001-094-012,14,Promoting Interest among Singapore Students for Engineering Studies,,WANA,
2016-04-05,013-001-094-012-015,013-001-094-012,15,Enrolment in Junior Colleges,,WANA,
2016-04-05,013-001-094-012-016,013-001-094-012,16,Cases of Fraud in Productivity and Innovation Credit Scheme,,WA,
