Date,Topic_CID,Sitting_CID,Order,Title,Subtitle,Section_Type,Question_Count
2023-04-19,014-002-095-099-001,014-002-095-099,1,Debate on President's Address,Third allotted day,OS,
2023-04-19,014-002-095-099-002,014-002-095-099,2,Time Limit for Prime Minister's Speech,Suspension of Standing Orders,OS,
2023-04-19,014-002-095-099-003,014-002-095-099,3,Debate on President's Address,,OS,
2023-04-19,014-002-095-099-004,014-002-095-099,4,Adjournment of Debate,,OS,
2023-04-19,014-002-095-099-005,014-002-095-099,5,Adjournment,,OS,
