Date,Sitting_CID,MP_Name,Attendance
2018-03-08,013-001-094-068,Ms Chia Yong Yong (Nominated Member).,False
2018-03-08,013-001-094-068,Mr Liang Eng Hwa (Holland-Bukit Timah).,False
2018-03-08,013-001-094-068,"Mr Lim Hng Kiang (West Coast), Minister for Trade and Industry (Trade).",False
2018-03-08,013-001-094-068,Asst Prof Mahdev Mohan (Nominated Member).,False
2018-03-08,013-001-094-068,"Dr Mohamad Maliki Bin Osman (East Coast), Senior Minister of State for Defence and Foreign Affairs.",False
2018-03-08,013-001-094-068,"Mr Teo Chee Hean (Pasir Ris-Punggol), Deputy Prime Minister and Coordinating Minister for National Security.",False
2018-03-08,013-001-094-068,Mr Teo Ser Luck (Pasir Ris-Punggol).,False
2018-03-08,013-001-094-068,Ms Tin Pei Ling (MacPherson).,False
2018-03-08,013-001-094-068,Mr SPEAKER (Mr Tan Chuan-Jin (Marine Parade)). ,True
2018-03-08,013-001-094-068,"Mr Amrin Amin (Sembawang), Parliamentary Secretary to the Minister for Health and Home Affairs. ",True
2018-03-08,013-001-094-068,Mr Ang Hin Kee (Ang Mo Kio). ,True
2018-03-08,013-001-094-068,Mr Ang Wei Neng (Jurong). ,True
2018-03-08,013-001-094-068,Mr Azmoon Ahmad (Nominated Member). ,True
2018-03-08,013-001-094-068,"Mr Baey Yam Keng (Tampines), Parliamentary Secretary to the Minister for Culture, Community and Youth. ",True
2018-03-08,013-001-094-068,"Mr Chan Chun Sing (Tanjong Pagar), Minister, Prime Minister's Office and Government Whip. ",True
2018-03-08,013-001-094-068,Miss Cheryl Chan Wei Ling (Fengshan). ,True
2018-03-08,013-001-094-068,"Mr Chee Hong Tat (Bishan-Toa Payoh), Senior Minister of State for Communications and Information and Health. ",True
2018-03-08,013-001-094-068,Mr Chen Show Mao (Aljunied). ,True
2018-03-08,013-001-094-068,Miss Cheng Li Hui (Tampines). ,True
2018-03-08,013-001-094-068,Dr Chia Shi-Lu (Tanjong Pagar). ,True
2018-03-08,013-001-094-068,"Mr Charles Chong (Punggol East), Deputy Speaker. ",True
2018-03-08,013-001-094-068,Mr Chong Kee Hiong (Bishan-Toa Payoh). ,True
2018-03-08,013-001-094-068,Mr Desmond Choo (Tampines). ,True
2018-03-08,013-001-094-068,Mr Thomas Chua Kee Seng (Nominated Member). ,True
2018-03-08,013-001-094-068,Mr Darryl David (Ang Mo Kio). ,True
2018-03-08,013-001-094-068,Mr Christopher de Souza (Holland-Bukit Timah). ,True
2018-03-08,013-001-094-068,Assoc Prof Fatimah Lateef (Marine Parade). ,True
2018-03-08,013-001-094-068,Mr Cedric Foo Chee Keng (Pioneer). ,True
2018-03-08,013-001-094-068,Ms Foo Mee Har (West Coast). ,True
2018-03-08,013-001-094-068,"Ms Grace Fu Hai Yien (Yuhua), Minister for Culture, Community and Youth and Leader of the House. ",True
2018-03-08,013-001-094-068,"Mr Gan Kim Yong (Chua Chu Kang), Minister for Health. ",True
2018-03-08,013-001-094-068,Mr Gan Thiam Poh (Ang Mo Kio). ,True
2018-03-08,013-001-094-068,Mr Ganesh Rajaram (Nominated Member). ,True
2018-03-08,013-001-094-068,Mr Goh Chok Tong (Marine Parade). ,True
2018-03-08,013-001-094-068,Assoc Prof Daniel Goh Pei Siong (Non-Constituency Member). ,True
2018-03-08,013-001-094-068,"Mr Heng Chee How (Jalan Besar), Senior Minister of State, Prime Minister's Office. ",True
2018-03-08,013-001-094-068,"Mr Heng Swee Keat (Tampines), Minister for Finance. ",True
2018-03-08,013-001-094-068,"Ms Indranee Rajah (Tanjong Pagar), Senior Minister of State for Finance and Law. ",True
2018-03-08,013-001-094-068,Dr Intan Azura Mokhtar (Ang Mo Kio). ,True
2018-03-08,013-001-094-068,"Mr S Iswaran (West Coast), Minister for Trade and Industry (Industry). ",True
2018-03-08,013-001-094-068,"Dr Janil Puthucheary (Pasir Ris-Punggol), Senior Minister of State for Communications and Information and Education. ",True
2018-03-08,013-001-094-068,"Mr Khaw Boon Wan (Sembawang), Coordinating Minister for Infrastructure and Minister for Transport. ",True
2018-03-08,013-001-094-068,"Dr Amy Khor Lean Suan (Hong Kah North), Senior Minister of State for Health and the Environment and Water Resources. ",True
2018-03-08,013-001-094-068,"Dr Koh Poh Koon (Ang Mo Kio), Senior Minister of State for National Development and Trade and Industry. ",True
2018-03-08,013-001-094-068,Mr Kok Heng Leun (Nominated Member). ,True
2018-03-08,013-001-094-068,Ms Kuik Shiao-Yin (Nominated Member). ,True
2018-03-08,013-001-094-068,Mr Kwek Hian Chuan Henry (Nee Soon). ,True
2018-03-08,013-001-094-068,"Dr Lam Pin Min (Sengkang West), Senior Minister of State for Health and Transport. ",True
2018-03-08,013-001-094-068,Er Dr Lee Bee Wah (Nee Soon). ,True
2018-03-08,013-001-094-068,"Mr Desmond Lee (Jurong), Minister for Social and Family Development, Second Minister for National Development and Deputy Leader of the House. ",True
2018-03-08,013-001-094-068,"Mr Lee Hsien Loong (Ang Mo Kio), Prime Minister. ",True
2018-03-08,013-001-094-068,Mr Lee Yi Shyan (East Coast). ,True
2018-03-08,013-001-094-068,"Mr Lim Biow Chuan (Mountbatten), Deputy Speaker. ",True
2018-03-08,013-001-094-068,"Mr Lim Swee Say (East Coast), Minister for Manpower. ",True
2018-03-08,013-001-094-068,Ms Sylvia Lim (Aljunied). ,True
2018-03-08,013-001-094-068,Dr Lim Wee Kiak (Sembawang). ,True
2018-03-08,013-001-094-068,Mr Low Thia Khiang (Aljunied). ,True
2018-03-08,013-001-094-068,"Ms Low Yen Ling (Chua Chu Kang), Senior Parliamentary Secretary to the Ministers for Trade and Industry and Education. ",True
2018-03-08,013-001-094-068,"Mr Masagos Zulkifli B M M (Tampines), Minister for the Environment and Water Resources. ",True
2018-03-08,013-001-094-068,Mr Muhamad Faisal Bin Abdul Manap (Aljunied). ,True
2018-03-08,013-001-094-068,"Assoc Prof Dr Muhammad Faishal Ibrahim (Nee Soon), Senior Parliamentary Secretary to the Ministers for Education and Minister for Social and Family Development. ",True
2018-03-08,013-001-094-068,Mr Murali Pillai (Bukit Batok). ,True
2018-03-08,013-001-094-068,Dr Lily Neo (Jalan Besar). ,True
2018-03-08,013-001-094-068,"Mr Ng Chee Meng (Pasir Ris-Punggol), Minister for Education (Schools) and Second Minister for Transport. ",True
2018-03-08,013-001-094-068,"Dr Ng Eng Hen (Bishan-Toa Payoh), Minister for Defence. ",True
2018-03-08,013-001-094-068,Mr Louis Ng Kok Kwang (Nee Soon). ,True
2018-03-08,013-001-094-068,Mr Ong Teng Koon (Marsiling-Yew Tee). ,True
2018-03-08,013-001-094-068,"Mr Ong Ye Kung (Sembawang), Minister for Education (Higher Education and Skills) and Second Minister for Defence. ",True
2018-03-08,013-001-094-068,Ms Joan Pereira (Tanjong Pagar). ,True
2018-03-08,013-001-094-068,Mr Leon Perera (Non-Constituency Member). ,True
2018-03-08,013-001-094-068,Ms Denise Phua Lay Peng (Jalan Besar). ,True
2018-03-08,013-001-094-068,Mr Png Eng Huat (Hougang). ,True
2018-03-08,013-001-094-068,Mr Pritam Singh (Aljunied). ,True
2018-03-08,013-001-094-068,Ms Rahayu Mahzam (Jurong). ,True
2018-03-08,013-001-094-068,Mr Saktiandi Supaat (Bishan-Toa Payoh). ,True
2018-03-08,013-001-094-068,Mr Seah Kian Peng (Marine Parade). ,True
2018-03-08,013-001-094-068,"Mr K Shanmugam (Nee Soon), Minister for Home Affairs and Minister for Law. ",True
2018-03-08,013-001-094-068,"Ms Sim Ann (Holland-Bukit Timah), Senior Minister of State for Culture, Community and Youth and Trade and Industry and Deputy Government Whip. ",True
2018-03-08,013-001-094-068,Mr Sitoh Yih Pin (Potong Pasir). ,True
2018-03-08,013-001-094-068,Ms Sun Xueling (Pasir Ris-Punggol). ,True
2018-03-08,013-001-094-068,"Mr Sam Tan Chin Siong (Radin Mas), Minister of State, Prime Minister's Office and Minister of State for Foreign Affairs and Manpower and Deputy Government Whip. ",True
2018-03-08,013-001-094-068,Mr Dennis Tan Lip Fong (Non-Constituency Member). ,True
2018-03-08,013-001-094-068,Assoc Prof Randolph Tan (Nominated Member). ,True
2018-03-08,013-001-094-068,Ms Jessica Tan Soon Neo (East Coast). ,True
2018-03-08,013-001-094-068,Dr Tan Wu Meng (Jurong). ,True
2018-03-08,013-001-094-068,Mr Patrick Tay Teck Guan (West Coast). ,True
2018-03-08,013-001-094-068,Dr Teo Ho Pin (Bukit Panjang). ,True
2018-03-08,013-001-094-068,"Mrs Josephine Teo (Bishan-Toa Payoh), Minister, Prime Minister's Office and Second Minister for Home Affairs and Manpower. ",True
2018-03-08,013-001-094-068,Ms K Thanaletchimi (Nominated Member). ,True
2018-03-08,013-001-094-068,"Mr Tharman Shanmugaratnam (Jurong), Deputy Prime Minister and Coordinating Minister for Economic and Social Policies. ",True
2018-03-08,013-001-094-068,Mr Edwin Tong Chun Fai (Marine Parade). ,True
2018-03-08,013-001-094-068,Mr Vikram Nair (Sembawang). ,True
2018-03-08,013-001-094-068,"Dr Vivian Balakrishnan (Holland-Bukit Timah), Minister for Foreign Affairs. ",True
2018-03-08,013-001-094-068,"Mr Lawrence Wong (Marsiling-Yew Tee), Minister for National Development and Second Minister for Finance. ",True
2018-03-08,013-001-094-068,"Assoc Prof Dr Yaacob Ibrahim (Jalan Besar), Minister for Communications and Information and Minister-in-charge of Muslim Affairs. ",True
2018-03-08,013-001-094-068,Mr Alex Yam (Marsiling-Yew Tee). ,True
2018-03-08,013-001-094-068,Mr Yee Chia Hsing (Chua Chu Kang). ,True
2018-03-08,013-001-094-068,Mr Melvin Yong Yik Chye (Tanjong Pagar). ,True
2018-03-08,013-001-094-068,Mr Zainal Sapari (Pasir Ris-Punggol). ,True
2018-03-08,013-001-094-068,Mr Zaqy Mohamad (Chua Chu Kang). ,True
