Date,Topic_CID,Sitting_CID,Order,Title,Subtitle,Section_Type,Question_Count
2019-03-08,013-002-094-101-001,013-002-094-101,1,Estimates of Expenditure for The Financial Year 1 April 2019 to 31 March 2020,Committee of Supply – Paper Cmd 19 of 2019,OS,
2019-03-08,013-002-094-101-002,013-002-094-101,2,"Committee of Supply – Head X (Ministry of Culture, Community and Youth)",,OS,
2019-03-08,013-002-094-101-003,013-002-094-101,3,Supply Bill,,BP,
2019-03-08,013-002-094-101-004,013-002-094-101,4,Supplementary Supply (FY 2018) Bill,,BP,
2019-03-08,013-002-094-101-005,013-002-094-101,5,Acknowledgement to the Chair,,OS,
2019-03-08,013-002-094-101-006,013-002-094-101,6,Criminal Procedure Code (Amendment) Bill,,BP,
2019-03-08,013-002-094-101-007,013-002-094-101,7,Adjournment,,OS,
2019-03-08,013-002-094-101-008,013-002-094-101,8,Time Taken to Conclude a Divorce at Family Justice Courts and Syariah Court,,WA,1
2019-03-08,013-002-094-101-009,013-002-094-101,9,Number of Singaporeans above Age 65 Who Have Made Use of SkillsFuture Credits,,WA,1
