Date,Sitting_CID,MP_Name,Attendance
2015-03-13,012-002-093-016,Mr K Karthikeyan (Nominated Member).,False
2015-03-13,012-002-093-016,Mr Lee Kuan Yew (Tanjong Pagar).,False
2015-03-13,012-002-093-016,Mr Raymond Lim Siang Keat (East Coast).,False
2015-03-13,012-002-093-016,"Mr Masagos Zulkifli B M M (Tampines), Senior Minister of State for Foreign Affairs and Home Affairs.",False
2015-03-13,012-002-093-016,Mr Mohd Ismail Hussein (Nominated Member).,False
2015-03-13,012-002-093-016,Ms Irene Ng Phek Hoong (Tampines).,False
2015-03-13,012-002-093-016,"Mr K Shanmugam (Nee Soon), Minister for Foreign Affairs and Minister for Law.",False
2015-03-13,012-002-093-016,"Dr Teo Ho Pin (Bukit Panjang), Deputy Government Whip.",False
2015-03-13,012-002-093-016,Mr Edwin Tong Chun Fai (Moulmein-Kallang).,False
2015-03-13,012-002-093-016,Mr Yeo Guat Kwang (Ang Mo Kio).,False
2015-03-13,012-002-093-016,Mdm SPEAKER (Mdm Halimah Yacob (Jurong)). ,True
2015-03-13,012-002-093-016,Mr Ang Hin Kee (Ang Mo Kio). ,True
2015-03-13,012-002-093-016,Mr Ang Wei Neng (Jurong). ,True
2015-03-13,012-002-093-016,Mr Baey Yam Keng (Tampines). ,True
2015-03-13,012-002-093-016,"Mr Chan Chun Sing (Tanjong Pagar), Minister for Social and Family Development and Second Minister for Defence. ",True
2015-03-13,012-002-093-016,Mr Chen Show Mao (Aljunied). ,True
2015-03-13,012-002-093-016,Dr Chia Shi-Lu (Tanjong Pagar). ,True
2015-03-13,012-002-093-016,Ms Chia Yong Yong (Nominated Member). ,True
2015-03-13,012-002-093-016,Mrs Lina Chiam (Non-Constituency Member). ,True
2015-03-13,012-002-093-016,"Mr Charles Chong (Joo Chiat), Deputy Speaker. ",True
2015-03-13,012-002-093-016,Mr Thomas Chua Kee Seng (Nominated Member). ,True
2015-03-13,012-002-093-016,Mr Christopher de Souza (Holland-Bukit Timah). ,True
2015-03-13,012-002-093-016,Assoc Prof Fatimah Lateef (Marine Parade). ,True
2015-03-13,012-002-093-016,Mr Arthur Fong (West Coast). ,True
2015-03-13,012-002-093-016,Mr Cedric Foo Chee Keng (Pioneer). ,True
2015-03-13,012-002-093-016,Ms Foo Mee Har (West Coast). ,True
2015-03-13,012-002-093-016,"Ms Grace Fu Hai Yien (Yuhua), Minister, Prime Minister's Office, Second Minister for the Environment and Water Resources and Second Minister for Foreign Affairs. ",True
2015-03-13,012-002-093-016,"Mr Gan Kim Yong (Chua Chu Kang), Minister for Health and Government Whip. ",True
2015-03-13,012-002-093-016,Mr Gan Thiam Poh (Pasir Ris-Punggol). ,True
2015-03-13,012-002-093-016,Mr Gerald Giam Yean Song (Non-Constituency Member). ,True
2015-03-13,012-002-093-016,Mr Goh Chok Tong (Marine Parade). ,True
2015-03-13,012-002-093-016,"Mr Hawazi Daipi (Sembawang), Senior Parliamentary Secretary to the Minister for Education and Minister for Manpower. ",True
2015-03-13,012-002-093-016,"Mr Heng Chee How (Whampoa), Senior Minister of State, Prime Minister's Office and Deputy Leader of the House. ",True
2015-03-13,012-002-093-016,"Mr Heng Swee Keat (Tampines), Minister for Education. ",True
2015-03-13,012-002-093-016,Mr Hri Kumar Nair (Bishan-Toa Payoh). ,True
2015-03-13,012-002-093-016,Mr Inderjit Singh (Ang Mo Kio). ,True
2015-03-13,012-002-093-016,"Ms Indranee Rajah (Tanjong Pagar), Senior Minister of State for Education and Law. ",True
2015-03-13,012-002-093-016,Dr Intan Azura Mokhtar (Ang Mo Kio). ,True
2015-03-13,012-002-093-016,"Mr S Iswaran (West Coast), Minister, Prime Minister's Office, Second Minister for Home Affairs and Second Minister for Trade and Industry. ",True
2015-03-13,012-002-093-016,Dr Janil Puthucheary (Pasir Ris-Punggol). ,True
2015-03-13,012-002-093-016,"Mr Khaw Boon Wan (Sembawang), Minister for National Development. ",True
2015-03-13,012-002-093-016,"Dr Amy Khor Lean Suan (Hong Kah North), Senior Minister of State for Health and Manpower and Deputy Government Whip. ",True
2015-03-13,012-002-093-016,Ms Kuik Shiao-Yin (Nominated Member). ,True
2015-03-13,012-002-093-016,"Dr Lam Pin Min (Sengkang West), Minister of State for Health. ",True
2015-03-13,012-002-093-016,Er Dr Lee Bee Wah (Nee Soon). ,True
2015-03-13,012-002-093-016,"Mr Desmond Lee (Jurong), Minister of State for National Development. ",True
2015-03-13,012-002-093-016,Ms Ellen Lee (Sembawang). ,True
2015-03-13,012-002-093-016,"Mr Lee Hsien Loong (Ang Mo Kio), Prime Minister. ",True
2015-03-13,012-002-093-016,Ms Lee Li Lian (Punggol East). ,True
2015-03-13,012-002-093-016,"Mr Lee Yi Shyan (East Coast), Senior Minister of State for National Development and Trade and Industry. ",True
2015-03-13,012-002-093-016,Mr Liang Eng Hwa (Holland-Bukit Timah). ,True
2015-03-13,012-002-093-016,Mr Lim Biow Chuan (Mountbatten). ,True
2015-03-13,012-002-093-016,"Mr Lim Hng Kiang (West Coast), Minister for Trade and Industry. ",True
2015-03-13,012-002-093-016,"Mr Lim Swee Say (East Coast), Minister, Prime Minister's Office. ",True
2015-03-13,012-002-093-016,Ms Sylvia Lim (Aljunied). ,True
2015-03-13,012-002-093-016,Dr Lim Wee Kiak (Nee Soon). ,True
2015-03-13,012-002-093-016,Miss Penny Low (Pasir Ris-Punggol). ,True
2015-03-13,012-002-093-016,Mr Low Thia Khiang (Aljunied). ,True
2015-03-13,012-002-093-016,"Ms Low Yen Ling (Chua Chu Kang), Parliamentary Secretary to the Minister for Culture, Community and Youth and Minister for Social and Family Development. ",True
2015-03-13,012-002-093-016,"Mr Lui Tuck Yew (Moulmein-Kallang), Minister for Transport ",True
2015-03-13,012-002-093-016,Mr Mah Bow Tan (Tampines). ,True
2015-03-13,012-002-093-016,"Dr Mohamad Maliki Bin Osman (East Coast), Minister of State for Defence and National Development. ",True
2015-03-13,012-002-093-016,Mr Muhamad Faisal Bin Abdul Manap (Aljunied). ,True
2015-03-13,012-002-093-016,"Assoc Prof Dr Muhammad Faishal Ibrahim (Nee Soon), Parliamentary Secretary to the Minister for Health and Minister for Transport. ",True
2015-03-13,012-002-093-016,Dr Lily Neo (Tanjong Pagar). ,True
