Date,Topic_CID,Sitting_CID,Order,Title,Subtitle,Section_Type,Question_Count
2020-09-01,014-001-095-003-001,014-001-095-003,1,International Arbitration (Amendment) Bill,,BI,
2020-09-01,014-001-095-003-002,014-001-095-003,2,Debate on President's Address,Second allotted day,OS,
2020-09-01,014-001-095-003-003,014-001-095-003,3,Time Limit for Minister's Speech,Suspension of Standing Orders,OS,
2020-09-01,014-001-095-003-004,014-001-095-003,4,Debate on President's Address,Second allotted day,OS,
2020-09-01,014-001-095-003-005,014-001-095-003,5,Exempted Business,,OS,
2020-09-01,014-001-095-003-006,014-001-095-003,6,Debate on President's Address,Second allotted day,OS,
2020-09-01,014-001-095-003-007,014-001-095-003,7,Adjournment of Debate,,OS,
2020-09-01,014-001-095-003-008,014-001-095-003,8,Adjournment,,OS,
