Date,Topic_CID,Sitting_CID,Order,Title,Subtitle,Section_Type,Question_Count
2020-09-02,014-001-095-004-001,014-001-095-004,1,Debate on President's Address,Third allotted day,OS,
2020-09-02,014-001-095-004-002,014-001-095-004,2,Time Limit for Prime Minister's Speech,Suspension of Standing Orders,OS,
2020-09-02,014-001-095-004-003,014-001-095-004,3,Debate on President's Address,Third allotted day,OS,
2020-09-02,014-001-095-004-004,014-001-095-004,4,Exempted Business,,OS,
2020-09-02,014-001-095-004-005,014-001-095-004,5,Debate on the President's Address,Third allotted day,OS,
2020-09-02,014-001-095-004-006,014-001-095-004,6,Adjournment of Debate,,OS,
2020-09-02,014-001-095-004-007,014-001-095-004,7,Adjournment,,OS,
