Date,Topic_CID,Sitting_CID,Order,Title,Subtitle,Section_Type,Question_Count
2015-08-17,012-002-093-022-001,012-002-093-022,1,Ministries' Follow-up Action from Auditor-General's Report,,OA,
2015-08-17,012-002-093-022-002,012-002-093-022,2,Details of Accounting Lapses in People's Association,,OA,
2015-08-17,012-002-093-022-003,012-002-093-022,3,Alternative Transport Plans in Event of MRT Breakdowns,,OA,
2015-08-17,012-002-093-022-004,012-002-093-022,4,Opportunities for Women in Singapore Armed Forces,,OA,
2015-08-17,012-002-093-022-005,012-002-093-022,5,Tighter Control over Child Development Accounts to Prevent Unauthorised Withdrawals ,,OA,
2015-08-17,012-002-093-022-006,012-002-093-022,6,Tackling Abuse of the Elderly,,OA,
2015-08-17,012-002-093-022-007,012-002-093-022,7,Maintaining Singapore Botanic Gardens' UNESCO Status,,OA,
2015-08-17,012-002-093-022-008,012-002-093-022,8,Racial and Religious Discrimination in Workplace,,OA,
2015-08-17,012-002-093-022-009,012-002-093-022,9,Travel Insurance for Overseas School Trips,,OA,
2015-08-17,012-002-093-022-010,012-002-093-022,10,Subsidies for Dyslexic Students in Specialised Independent Schools,,OA,
2015-08-17,012-002-093-022-011,012-002-093-022,11,Organised Crime Bill,,BP,
2015-08-17,012-002-093-022-012,012-002-093-022,12,Asian Infrastructure Investment Bank Bill,,BP,
2015-08-17,012-002-093-022-013,012-002-093-022,13,Employment (Amendment) Bill,,BP,
2015-08-17,012-002-093-022-014,012-002-093-022,14,Silver Support Scheme Bill,,BP,
2015-08-17,012-002-093-022-015,012-002-093-022,15,Human Biomedical Research Bill,,BP,
2015-08-17,012-002-093-022-016,012-002-093-022,16,Adjournment of Debate,,OS,
2015-08-17,012-002-093-022-017,012-002-093-022,17,Proper Accountability by Public Sector Entities for Public Resources,,OS,
2015-08-17,012-002-093-022-018,012-002-093-022,18,Employment of Retirees in Civil Service to Include Benefits,,WANA,1
2015-08-17,012-002-093-022-019,012-002-093-022,19,Trade Sectors Driving Economic Growth (SMEs' contribution to growth),,WANA,1
2015-08-17,012-002-093-022-020,012-002-093-022,20,GDP Per Dollar of Business Cost in Singapore,,WANA,1
2015-08-17,012-002-093-022-021,012-002-093-022,21,Effectiveness of Reform Programmes for Individuals Caught in Cycle of Re-offending,,WANA,2
2015-08-17,012-002-093-022-022,012-002-093-022,22,Aligning Issuance of Temporary Occupation Permit with Building Standards Compliance,,WANA,1
2015-08-17,012-002-093-022-023,012-002-093-022,23,Review of Car Park Charges at Popular Parks to Encourage Healthy Lifestyle,,WANA,1
2015-08-17,012-002-093-022-024,012-002-093-022,24,Improve NEA's Processes for Clearing Rodent Burrows,,WANA,1
2015-08-17,012-002-093-022-025,012-002-093-022,25,Fraudulent Foreign Property Transactions,,WANA,1
2015-08-17,012-002-093-022-026,012-002-093-022,26,Cap for Hospital Bills Based on Class of Ward,,WANA,1
2015-08-17,012-002-093-022-027,012-002-093-022,27,Water and Electricity Charges,,WANA,1
2015-08-17,012-002-093-022-028,012-002-093-022,28,Annual Caps on Subsidies for Chronic Disease Management Programme,,WANA,1
2015-08-17,012-002-093-022-029,012-002-093-022,29,Revision of Fees Charged by Public Healthcare Groups,,WANA,1
2015-08-17,012-002-093-022-030,012-002-093-022,30,Conversion of Land Use in Rivervale Crescent,,WANA,1
2015-08-17,012-002-093-022-031,012-002-093-022,31,Utilisation Rates of City Direct and Feeder Bus Services,,WANA,1
2015-08-17,012-002-093-022-032,012-002-093-022,32,Provision in Government Contract for Emergency Bus Services in Event of Rail Disruptions,,WANA,1
2015-08-17,012-002-093-022-033,012-002-093-022,33,Employment Pass Applications Submitted immediately after 14-day Mandatory Advertisement Period in Jobs Bank,,WANA,1
2015-08-17,012-002-093-022-034,012-002-093-022,34,Channelling Unemployed Citizens to Manpower-constrained Growth Sectors,,WANA,1
2015-08-17,012-002-093-022-035,012-002-093-022,35,Dispute Resolution for Tenants in HDB's Joint Singles Scheme,,WANA,1
2015-08-17,012-002-093-022-036,012-002-093-022,36,Commuters Switching from North East Line to Upcoming Downtown Line 2,,WANA,1
2015-08-17,012-002-093-022-037,012-002-093-022,37,Meeting Manpower Needs of Expanding Bus Network,,WANA,1
2015-08-17,012-002-093-022-038,012-002-093-022,38,Security Sector's Readiness to Implement Progressive Wage Model,,WANA,1
2015-08-17,012-002-093-022-039,012-002-093-022,39,Bringing Forward Roll-out of Progressive Wage Model for Landscape Workers,,WANA,1
2015-08-17,012-002-093-022-040,012-002-093-022,40,Allowing Pioneer Generation Patients to Select Doctors at Specialist Outpatient Clinics,,WANA,1
2015-08-17,012-002-093-022-041,012-002-093-022,41,Effectiveness and Extension of Use of Bird-deterrent Gel,,WANA,1
2015-08-17,012-002-093-022-042,012-002-093-022,42,Increasing Bus Frequency to Rivervale Delta,,WANA,1
2015-08-17,012-002-093-022-043,012-002-093-022,43,Effectiveness of Existing Fair Employment Guidelines in Protecting Older PMEs,,WANA,1
2015-08-17,012-002-093-022-044,012-002-093-022,44,Flats that have Benefitted from Home Improvement Programme,,WANA,1
2015-08-17,012-002-093-022-045,012-002-093-022,45,360-degree Feedback Appraisal System for Singapore-incorporated Companies,,WANA,1
2015-08-17,012-002-093-022-046,012-002-093-022,46,Overseas Singaporeans Registered as Overseas Voters,,WA,1
2015-08-17,012-002-093-022-047,012-002-093-022,47,Update on Financial and Capital Market Integration in ASEAN,,WA,1
2015-08-17,012-002-093-022-048,012-002-093-022,48,Nomination of Full-time Employees of Statutory Boards for Election as MPs,,WA,1
2015-08-17,012-002-093-022-049,012-002-093-022,49,Deployment of Paramedics and Permissible Emergency Response Time,,WA,2
2015-08-17,012-002-093-022-050,012-002-093-022,50,Take-up Rate for Space in JTC and HDB Industrial Parks,,WA,1
2015-08-17,012-002-093-022-051,012-002-093-022,51,Human Resource Needs of Local Funeral Industry,,WA,1
2015-08-17,012-002-093-022-052,012-002-093-022,52,Sharing List of Eligible Bargainable Employees with Unions,,WA,1
2015-08-17,012-002-093-022-053,012-002-093-022,53,First-time Applicants Successful in Securing BTO Flats,,WA,1
2015-08-17,012-002-093-022-054,012-002-093-022,54,Raising Quota under Married Child Priority Scheme for Mature Estates,,WA,1
2015-08-17,012-002-093-022-055,012-002-093-022,55,Exemption from Mandatory Pre-packed Material Requirement for Home-owners Renovating BTO Flats,,WA,1
2015-08-17,012-002-093-022-056,012-002-093-022,56,Repackaging and Sale of Fukushima Food Products under Local Brand Names,,WA,1
2015-08-17,012-002-093-022-057,012-002-093-022,57,Season Parking Area for NEA-licensed Mobile Snack Food Vendors,,WA,1
2015-08-17,012-002-093-022-058,012-002-093-022,58,Complaints from BTO and DBSS Flat Owners,,WA,1
2015-08-17,012-002-093-022-059,012-002-093-022,59,Use of New Technology to Augment and Modernise SAF's Existing Fighting Force,,WA,1
2015-08-17,012-002-093-022-060,012-002-093-022,60,"Update on Construction of Downtown Line 2 MRT Stations at King Albert Park, Sixth Avenue and Tan Kah Kee",,WA,1
2015-08-17,012-002-093-022-061,012-002-093-022,61,Expediting Completion of Downtown Line 2 MRT Stations to Keep within Timeline,,WA,1
2015-08-17,012-002-093-022-062,012-002-093-022,62,Extension of Downtown Line or Circle Line and Building of Cross Island Line,,WA,1
2015-08-17,012-002-093-022-063,012-002-093-022,63,Measures to Minimise Traffic Noise Level along Central Expressway Facing Residential Homes,,WA,1
2015-08-17,012-002-093-022-064,012-002-093-022,64,Extending MRT Network to Link Punggol to Yio Chu Kang and Seletar Towns,,WA,1
2015-08-17,012-002-093-022-065,012-002-093-022,65,Non-payment of Fares and Acts of Violence against Taxi Drivers,,WA,1
2015-08-17,012-002-093-022-066,012-002-093-022,66,Family Service Centres Helping Intellectually Disabled Find Jobs,,WA,1
2015-08-17,012-002-093-022-067,012-002-093-022,67,Suicides and Attempted Suicides in Singapore,,WA,1
