Date,Topic_CID,Sitting_CID,Order,Title,Subtitle,Section_Type,Question_Count
2023-04-20,014-002-095-100-001,014-002-095-100,1,Family Justice Reform Bill,,BI,
2023-04-20,014-002-095-100-002,014-002-095-100,2,Debate on President's Address,Fourth allotted day,OS,
2023-04-20,014-002-095-100-003,014-002-095-100,3,Time Limit for Minister's Speech,Suspension of Standing Orders,OS,
2023-04-20,014-002-095-100-004,014-002-095-100,4,Debate on President's Address ,,OS,
2023-04-20,014-002-095-100-005,014-002-095-100,5,Adjournment of Debate,,OS,
2023-04-20,014-002-095-100-006,014-002-095-100,6,Personal Explanation,,OS,
2023-04-20,014-002-095-100-007,014-002-095-100,7,Adjournment,,OS,
