Date,Topic_CID,Sitting_CID,Order,Title,Subtitle,Section_Type,Question_Count
2019-04-01,013-002-094-102-001,013-002-094-102,1,Attack in Christchurch,,OS,
2019-04-01,013-002-094-102-002,013-002-094-102,2,Guidelines for Doctors' Communication of Information to Patient's Family,,OA,
2019-04-01,013-002-094-102-003,013-002-094-102,3,Impact of Pasir Gudang Incident in Johor on Singaporeans,,OA,
2019-04-01,013-002-094-102-004,013-002-094-102,4,Impact of Hyflux’s Recent Challenges on Singapore's Water Supply,,OA,
2019-04-01,013-002-094-102-005,013-002-094-102,5,Remedial Actions Following Blood Donors' Personal Data Leak,,OA,
2019-04-01,013-002-094-102-006,013-002-094-102,6,Role of Personal Data Protection Commission in Investigating Blood Donors' Data Leak,,OA,
2019-04-01,013-002-094-102-007,013-002-094-102,7,More Help for PMETs Retrenched in 2018,,OA,
2019-04-01,013-002-094-102-008,013-002-094-102,8,Impact of Suspension of Boeing 737 Max Aircraft,,OA,
2019-04-01,013-002-094-102-009,013-002-094-102,9,Low-income Parents who Sell Flats Co-owned with Children so Children Can Buy Flats in Their Own Names,,OA,
2019-04-01,013-002-094-102-010,013-002-094-102,10,Unauthorised Modifications in Industrial Buildings,,OA,
2019-04-01,013-002-094-102-011,013-002-094-102,11,Impact of Inclusion of Capital Income on Singapore's Gini Coefficient,,OA,
2019-04-01,013-002-094-102-012,013-002-094-102,12,Concerns over Tender and Eventual Award of Patrol Boat Contract to ST Marine,,OA,
2019-04-01,013-002-094-102-013,013-002-094-102,13,Implications of Recent Agreement with Malaysia to Suspend Overlapping Claims in Singapore's Territorial Waters off Tuas,,OA,
2019-04-01,013-002-094-102-014,013-002-094-102,14,Lessons from Recent Shooting Incidents in Amsterdam and Christchurch,,OA,
2019-04-01,013-002-094-102-015,013-002-094-102,15,Order for Ministerial Statements,,OS,
2019-04-01,013-002-094-102-016,013-002-094-102,16,Protecting Patients' Interests and Supporting the Medical Community,Statement by Minister for Health,OS,
2019-04-01,013-002-094-102-017,013-002-094-102,17,Restricting Hate Speech to Maintain Racial and Religious Harmony in Singapore,Statement by Minister for Home Affairs,OS,
2019-04-01,013-002-094-102-018,013-002-094-102,18,Exempted Business,Business motion,OS,
2019-04-01,013-002-094-102-019,013-002-094-102,19,Restricting Hate Speech to Maintain Racial and Religious Harmony in Singapore,Statement by Minister for Home Affairs,OS,
2019-04-01,013-002-094-102-020,013-002-094-102,20,Protection from Online Falsehoods and Manipulation Bill,,BI,
2019-04-01,013-002-094-102-021,013-002-094-102,21,Protection from Harassment (Amendment) Bill,,BI,
2019-04-01,013-002-094-102-022,013-002-094-102,22,Pioneer Generation Fund (Amendment) Bill,,BI,
2019-04-01,013-002-094-102-023,013-002-094-102,23,Clarification by Senior Minister of State for Law ,,OS,
2019-04-01,013-002-094-102-024,013-002-094-102,24,Adjournment,,OS,
