Date,Topic_CID,Sitting_CID,Order,Title,Subtitle,Section_Type,Question_Count
2013-03-13,012-001-090-014-001,012-001-090-014,1,GIC's Report on the Management of the Government's Portfolio for the Year 2011/12,,OA,
2013-03-13,012-001-090-014-002,012-001-090-014,2,Coal burning at Tembusu Multi-Utilities Complex on Jurong Island,,OA,
2013-03-13,012-001-090-014-003,012-001-090-014,3,Estimates of Expenditure for the Financial Year 1 April 2013 to 31 March 2014,Committee of Supply – Paper Cmd 3 of 2013,OS,
2013-03-13,012-001-090-014-004,012-001-090-014,4,Committee of Supply – Head W (Ministry of Transport),,OS,
2013-03-13,012-001-090-014-005,012-001-090-014,5,Committee of Supply – Head K (Ministry of Education),,OS,
2013-03-13,012-001-090-014-006,012-001-090-014,6,Committee of Supply – Head I (Ministry of Social and Family Development),,OS,
2013-03-13,012-001-090-014-007,012-001-090-014,7,Committee of Supply Reporting Progress,,OS,
2013-03-13,012-001-090-014-008,012-001-090-014,8,Adjournment,,OS,
