Date,Topic_CID,Sitting_CID,Order,Title,Subtitle,Section_Type,Question_Count
2014-05-28,012-002-092-004-001,012-002-092-004,1,"Corruption, Drug Trafficking and Other Serious Crimes (Confiscation of Benefits) (Amendment) Bill",,BI,
2014-05-28,012-002-092-004-002,012-002-092-004,2,Debate on President's Address,Third allotted day,OS,
2014-05-28,012-002-092-004-003,012-002-092-004,3,Time Limit for Prime Minister's Speech,Suspension of Standing Orders,OS,
2014-05-28,012-002-092-004-004,012-002-092-004,4,Debate on President's Address,,OS,
2014-05-28,012-002-092-004-005,012-002-092-004,5,Adjournment of Debate,,OS,
2014-05-28,012-002-092-004-006,012-002-092-004,6,Adjournment,,OS,
