Date,Topic_CID,Sitting_CID,Order,Title,Subtitle,Section_Type,Question_Count
2018-07-09,013-002-094-078-001,013-002-094-078,1,President's Address,Speaker's announcement for Address of Thanks,OS,
2018-07-09,013-002-094-078-002,013-002-094-078,2,State of Bilateral Relationship with Malaysia After Last Election,,OA,
2018-07-09,013-002-094-078-003,013-002-094-078,3,Update on Kuala Lumpur-Singapore High Speed Rail Project,,OA,
2018-07-09,013-002-094-078-004,013-002-094-078,4,Short- and Longer Term Impact of Cancellation of High Speed Rail Project on Singapore Government’s Revenues and Expenditures,,OA,
2018-07-09,013-002-094-078-005,013-002-094-078,5,Impact of Cancellation of High Speed Rail Project on Development Plans for Jurong Lake District and Related Areas,,OA,
2018-07-09,013-002-094-078-006,013-002-094-078,6,Capital Reserve in PUB's Accounts,,OA,
2018-07-09,013-002-094-078-007,013-002-094-078,7,Impact of US-China Trade War on Singapore,,OA,
2018-07-09,013-002-094-078-008,013-002-094-078,8,Passing Rate for Private Hire Driver Vocational Licence Test,,OA,
2018-07-09,013-002-094-078-009,013-002-094-078,9,Unconsumed Funds in Respect of oBike's Exit from Singapore,,OA,
2018-07-09,013-002-094-078-010,013-002-094-078,10,Companies (Amendment) Bill,,BI,
2018-07-09,013-002-094-078-011,013-002-094-078,11,Singapore Tourism (Cess Collection) (Amendment) Bill,,BP,
2018-07-09,013-002-094-078-012,013-002-094-078,12,Customs (Amendment) Bill,,BP,
2018-07-09,013-002-094-078-013,013-002-094-078,13,Rearrangement of Business,Suspension of Standing Orders,OS,
2018-07-09,013-002-094-078-014,013-002-094-078,14,Intellectual Property (Border Enforcement) Bill,,BP,
2018-07-09,013-002-094-078-015,013-002-094-078,15,National Library Board (Amendment) Bill,,BP,
2018-07-09,013-002-094-078-016,013-002-094-078,16,Deposit Insurance and Policy Owners' Protection Schemes (Amendment) Bill,,BP,
2018-07-09,013-002-094-078-017,013-002-094-078,17,Tokyo Convention (Amendment) Bill,,BP,
2018-07-09,013-002-094-078-018,013-002-094-078,18,Small Claims Tribunals (Amendment) Bill,,BP,
2018-07-09,013-002-094-078-019,013-002-094-078,19,Extension of a Sitting,,OS,
2018-07-09,013-002-094-078-020,013-002-094-078,20,Adjournment,,OS,
2018-07-09,013-002-094-078-021,013-002-094-078,21,Placement of Children with Special Needs in Mainstream Schools,,WANA,
2018-07-09,013-002-094-078-022,013-002-094-078,22,Problem of Stray Dogs and Attacks on Public,,WANA,
2018-07-09,013-002-094-078-023,013-002-094-078,23,Details and Framework of Workings of The Special Needs Trust Company,,WANA,
2018-07-09,013-002-094-078-024,013-002-094-078,24,Temporary Occupation Licences Issued to Commercial Plant Operators in East Coast/ Marina Bay Area,,WANA,
2018-07-09,013-002-094-078-025,013-002-094-078,25,Lengthen Time for Student Movement between Classes,,WANA,
2018-07-09,013-002-094-078-026,013-002-094-078,26,Consumption Rate of Pioneer Generation Fund,,WANA,
2018-07-09,013-002-094-078-027,013-002-094-078,27,Promoting Awareness of Assistance for People with Mental Illnesses,,WANA,
2018-07-09,013-002-094-078-028,013-002-094-078,28,Review Licensing Regimes to Ensure Singapore Continues to be Attractive Location for Work and Play,,WANA,
2018-07-09,013-002-094-078-029,013-002-094-078,29,Security Concerns Arising from Foreign Workers and Foreign Domestic Workers Congregating in Large Numbers in Public Places,,WANA,
2018-07-09,013-002-094-078-030,013-002-094-078,30,Review of Section 89 of Employment Act to Allow Coverage of Community Hospital Stay,,WANA,
