Date,Topic_CID,Sitting_CID,Order,Title,Subtitle,Section_Type,Question_Count
2018-05-16,013-002-094-075-001,013-002-094-075,1,Debate on President's Address,Third allotted day,OS,
2018-05-16,013-002-094-075-002,013-002-094-075,2,Time Limit for Prime Minister's Speech,Suspension of Standing Orders,OS,
2018-05-16,013-002-094-075-003,013-002-094-075,3,Debate on President's Address,Third allotted day,OS,
2018-05-16,013-002-094-075-004,013-002-094-075,4,Adjournment of Debate,,OS,
