file_name,processed_date
2012-09-10-attendance.csv,2023-09-24
2012-09-11-attendance.csv,2023-09-24
2012-10-15-attendance.csv,2023-09-24
2012-10-16-attendance.csv,2023-09-24
2012-11-12-attendance.csv,2023-09-24
2012-11-14-attendance.csv,2023-09-24
2012-11-15-attendance.csv,2023-09-24
2012-11-16-attendance.csv,2023-09-24
2013-01-14-attendance.csv,2023-09-24
2013-02-04-attendance.csv,2023-09-24
2013-02-05-attendance.csv,2023-09-24
2013-02-06-attendance.csv,2023-09-24
2013-02-07-attendance.csv,2023-09-24
2013-02-08-attendance.csv,2023-09-24
2013-02-25-attendance.csv,2023-09-24
2013-03-05-attendance.csv,2023-09-24
2013-03-06-attendance.csv,2023-09-24
2013-03-07-attendance.csv,2023-09-24
2013-03-08-attendance.csv,2023-09-24
2013-03-11-attendance.csv,2023-09-24
2013-03-12-attendance.csv,2023-09-24
2013-03-13-attendance.csv,2023-09-24
2013-03-14-attendance.csv,2023-09-24
2013-03-15-attendance.csv,2023-09-24
2013-04-08-attendance.csv,2023-09-24
2013-05-13-attendance.csv,2023-09-24
2013-07-08-attendance.csv,2023-09-24
2013-07-09-attendance.csv,2023-09-24
2013-08-12-attendance.csv,2023-09-24
2013-09-16-attendance.csv,2023-09-24
2013-10-21-attendance.csv,2023-09-24
2013-11-11-attendance.csv,2023-09-24
2013-11-12-attendance.csv,2023-09-24
2014-01-20-attendance.csv,2023-09-24
2014-01-21-attendance.csv,2023-09-24
2014-02-17-attendance.csv,2023-09-24
2014-02-18-attendance.csv,2023-09-24
2014-02-21-attendance.csv,2023-09-24
2014-03-03-attendance.csv,2023-09-24
2014-03-04-attendance.csv,2023-09-24
2014-03-05-attendance.csv,2023-09-24
2014-03-06-attendance.csv,2023-09-24
2014-03-07-attendance.csv,2023-09-24
2014-03-10-attendance.csv,2023-09-24
2014-03-11-attendance.csv,2023-09-24
2014-03-12-attendance.csv,2023-09-24
2014-03-13-attendance.csv,2023-09-24
2014-04-14-attendance.csv,2023-09-24
2014-05-16-attendance.csv,2023-09-24
2014-05-26-attendance.csv,2023-09-24
2014-05-27-attendance.csv,2023-09-24
