Date,Sitting_CID,MP_Name,Attendance,MP_Name_Title
2012-09-10,012-001-089-006,Masagos Zulkifli B M M ,True,"Mr Masagos Zulkifli B M M (Tampines), Senior Minister of State for Home Affairs and Foreign Affairs."
2012-09-10,012-001-089-006,Mohamad Maliki Bin Osman ,True,"Dr Mohamad Maliki Bin Osman (East Coast), Senior Parliamentary Secretary to the Minister for Defence and Minister for National Development."
2012-09-10,012-001-089-006,Muhamad Faisal Bin Abdul Manap ,True,Mr Muhamad Faisal Bin Abdul Manap (Aljunied).
2012-09-10,012-001-089-006,Dr Muhammad Faishal Ibrahim ,True,"Assoc Prof Dr Muhammad Faishal Ibrahim (Nee Soon), Parliamentary Secretary to the Minister for Health and Minister for Transport."
2012-09-10,012-001-089-006,Lily Neo ,True,Dr Lily Neo (Tanjong Pagar).
2012-09-10,012-001-089-006,David Ong ,True,Mr David Ong (Jurong).
2012-09-10,012-001-089-006,Ong Teng Koon ,True,Mr Ong Teng Koon (Sembawang).
2012-09-10,012-001-089-006,Denise Phua Lay Peng ,True,Ms Denise Phua Lay Peng (Moulmein-Kallang).
2012-09-10,012-001-089-006,Png Eng Huat ,True,Mr Png Eng Huat (Hougang).
2012-09-10,012-001-089-006,Pritam Singh ,True,Mr Pritam Singh (Aljunied).
2012-09-10,012-001-089-006,Seah Kian Peng ,True,"Mr Seah Kian Peng (Marine Parade), Deputy Speaker."
2012-09-10,012-001-089-006,Seng Han Thong ,True,Mr Seng Han Thong (Ang Mo Kio).
2012-09-10,012-001-089-006,Sim Ann ,True,"Ms Sim Ann (Holland-Bukit Timah), Senior Parliamentary Secretary to the Minister for Education and Minister for Law."
2012-09-10,012-001-089-006,Sitoh Yih Pin ,True,Mr Sitoh Yih Pin (Potong Pasir).
2012-09-10,012-001-089-006,Tan Chuan-Jin ,True,"Mr Tan Chuan-Jin (Marine Parade), Acting Minister for Manpower and Senior Minister of State for National Development."
2012-09-10,012-001-089-006,Tan Kheng Boon Eugene ,True,Asst Prof Tan Kheng Boon Eugene (Nominated Member).
2012-09-10,012-001-089-006,Jessica Tan Soon Neo ,True,Ms Jessica Tan Soon Neo (East Coast).
2012-09-10,012-001-089-006,Tan Su Shan ,True,Ms Tan Su Shan (Nominated Member).
2012-09-10,012-001-089-006,Patrick Tay Teck Guan ,True,Mr Patrick Tay Teck Guan (Nee Soon).
2012-09-10,012-001-089-006,Teo Chee Hean ,True,"Mr Teo Chee Hean (Pasir Ris-Punggol), Deputy Prime Minister and Coordinating Minister for National Security and Minister for Home Affairs."
2012-09-10,012-001-089-006,Teo Ho Pin ,True,"Dr Teo Ho Pin (Bukit Panjang), Deputy Government Whip."
2012-09-10,012-001-089-006,Josephine Teo ,True,"Mrs Josephine Teo (Bishan-Toa Payoh), Minister of State for Finance and Transport."
2012-09-10,012-001-089-006,Teo Ser Luck ,True,"Mr Teo Ser Luck (Pasir Ris-Punggol), Minister of State for Trade and Industry."
2012-09-10,012-001-089-006,Teo Siong Seng ,True,Mr Teo Siong Seng (Nominated Member).
2012-09-10,012-001-089-006,Tharman Shanmugaratnam ,True,"Mr Tharman Shanmugaratnam (Jurong), Deputy Prime Minister and Minister for Finance."
2012-09-10,012-001-089-006,Tin Pei Ling ,True,Ms Tin Pei Ling (Marine Parade).
2012-09-10,012-001-089-006,Edwin Tong Chun Fai ,True,Mr Edwin Tong Chun Fai (Moulmein-Kallang).
2012-09-10,012-001-089-006,Vikram Nair ,True,Mr Vikram Nair (Sembawang).
2012-09-10,012-001-089-006,Vivian Balakrishnan ,True,"Dr Vivian Balakrishnan (Holland-Bukit Timah), Minister for the Environment and Water Resources."
2012-09-10,012-001-089-006,Wong Kan Seng ,True,Mr Wong Kan Seng (Bishan-Toa Payoh).
2012-09-10,012-001-089-006,Lawrence Wong ,True,"Mr Lawrence Wong (West Coast), Senior Minister of State for Education and Information, Communications and the Arts."
2012-09-10,012-001-089-006,Dr Yaacob Ibrahim ,True,"Assoc Prof Dr Yaacob Ibrahim (Moulmein-Kallang), Minister for Information, Communications and the Arts and Minister-in-charge of Muslim Affairs."
2012-09-10,012-001-089-006,Alex Yam ,True,Mr Alex Yam (Chua Chu Kang).
2012-09-10,012-001-089-006,Yee Jenn Jong ,True,Mr Yee Jenn Jong (Non-Constituency Member).
2012-09-10,012-001-089-006,Alvin Yeo ,True,Mr Alvin Yeo (Chua Chu Kang).
2012-09-10,012-001-089-006,Zainal Sapari ,True,Mr Zainal Sapari (Pasir Ris-Punggol).
2012-09-10,012-001-089-006,Zainudin Nordin ,True,Mr Zainudin Nordin (Bishan-Toa Payoh).
2012-09-10,012-001-089-006,Zaqy Mohamad ,True,Mr Zaqy Mohamad (Chua Chu Kang).
2012-09-10,012-001-089-006,Goh Chok Tong ,False,Mr Goh Chok Tong (Marine Parade).
2012-09-10,012-001-089-006,Hawazi Daipi ,False,"Mr Hawazi Daipi (Sembawang), Senior Parliamentary Secretary to the Minister for Education and Acting Minister for Manpower."
2012-09-10,012-001-089-006,Indranee Rajah ,False,Ms Indranee Rajah (Tanjong Pagar).
2012-09-10,012-001-089-006,Lam Pin Min ,False,Dr Lam Pin Min (Sengkang West).
2012-09-10,012-001-089-006,Laurence Lien ,False,Mr Laurence Lien (Nominated Member).
2012-09-10,012-001-089-006,Lim Hng Kiang ,False,"Mr Lim Hng Kiang (West Coast), Minister for Trade and Industry."
2012-09-10,012-001-089-006,Penny Low ,False,Miss Penny Low (Pasir Ris-Punggol).
2012-09-10,012-001-089-006,Ng Eng Hen ,False,"Dr Ng Eng Hen (Bishan-Toa Payoh), Minister for Defence and Leader of the House."
2012-09-10,012-001-089-006,Irene Ng Phek Hoong ,False,Ms Irene Ng Phek Hoong (Tampines).
2012-09-10,012-001-089-006,K Shanmugam ,False,"Mr K Shanmugam (Nee Soon), Minister for Foreign Affairs and Minister for Law."
2012-09-10,012-001-089-006,Sam Tan Chin Siong ,False,"Mr Sam Tan Chin Siong (Radin Mas), Senior Parliamentary Secretary to the Minister for Foreign Affairs and Acting Minister for Community Development, Youth and Sports."
2012-09-10,012-001-089-006,Yeo Guat Kwang ,False,Mr Yeo Guat Kwang (Ang Mo Kio).
